Not specified manufacturing industries,3990,"Part of 31, 32, 33",
,,,
Nondurable goods manufacturing,1070–2390,,
,,,
Food manufacturing,1070–1290,311,
"Animal food, grain, and oilseed milling ",1070,"3111, 3112",
Sugar and confectionery products ,1080,3113,
Fruit and vegetable preserving and specialty food manufacturing              ,1090,3114,
Dairy product manufacturing,1170,3115,
Animal slaughtering and processing ,1180,3116,
Retail bakeries ,1190,311811,
"Bakeries and tortilla manufacturing, except retail bakeries",1270,3118 exc. 311811,
"Seafood and other miscellaneous foods, n.e.c. ",1280,"3117, 3119",
Not specified food industries,1290,Part of 311,
Beverage and tobacco products manufacturing,1370–1390,312,
Beverage manufacturing,1370,3121,
Tobacco manufacturing,1390,3122,
"Textiles, apparel, and leather manufacturing",1470–1790,313–316,
"Fiber, yarn, and thread mills ",1470,3131,
"Fabric mills, except knitting mills",1480,3132 exc. 31324,
Textile and fabric finishing and coating mills ,1490,3133,
Carpet and rug mills,1570,31411,
"Textile product mills, except carpet and rug ",1590,314 exc. 31411,
"Knitting fabric mills, and apparel knitting mills ",1670,"31324, 3151",
Cut and sew apparel manufacturing,1680,3152,
Apparel accessories and other apparel manufacturing,1690,3159,
Footwear manufacturing,1770,3162,
Leather tanning and finishing and other allied products manufacturing ,1790,"3161, 3169",
Paper manufacturing and printing ,1870–1990,322–323,
"Pulp, paper, and paperboard mills ",1870,3221,
Paperboard container manufacturing,1880,32221,
Miscellaneous paper and pulp products,1890,"32222, 32223, 32229",
Printing and related support activities ,1990,3231,
Petroleum and coal products manufacturing,2070–2090,324,
Petroleum refining ,2070,32411,
Miscellaneous petroleum and coal products ,2090,"32412, 32419",
Chemicals manufacturing,2170–2290,325,
"Resin, synthetic rubber and fibers, and filaments manufacturing  ",2170,3252,
Agricultural chemical manufacturing  ,2180,3253,
Pharmaceutical and medicine manufacturing,2190,3254,
"Paint, coating, and adhesive manufacturing ",2270,3255,
"Soap, cleaning compound, and cosmetics manufacturing ",2280,3256,
Industrial and miscellaneous chemicals ,2290,"3251, 3259",
Plastics and rubber products manufacturing,2370–2390,326,
Plastics product manufacturing ,2370,3261,
Tire manufacturing ,2380,32621,
"Rubber product, except tire, manufacturing ",2390,"32622, 32629",
,,,
Wholesale and retail trade,4070–5790,"42, 44–45",
,,,
Wholesale trade,4070–4590,42,
,,,
Motor vehicle and motor vehicle parts and supplies merchant wholesalers       ,4070,4231,
Furniture and home furnishing merchant wholesalers   ,4080,4232,
Lumber and other construction materials merchant wholesalers ,4090,4233,
Professional and commercial equipment and supplies merchant wholesalers,4170,4234,
"Metals and minerals, except petroleum, merchant wholesalers                         ",4180,4235,
Household appliances and electrical and electronic goods merchant wholesalers ,4195,4236,
"Hardware, and plumbing and heating equipment, and supplies merchant wholesalers ",4265,4237,
"Machinery, equipment, and supplies merchant wholesalers     ",4270,4238,
Recyclable material merchant wholesalers ,4280,42393,
Miscellaneous durable goods merchant wholesalers,4290,4239 exc. 42393,
Paper and paper products merchant wholesalers ,4370,4241,
"Drugs, sundries, and chemical and allied products merchant wholesalers ",4380,"4242, 4246",
"Apparel, piece goods, and notions merchant wholesalers ",4390,4243,
Grocery and related product merchant wholesalers ,4470,4244,
Farm product raw material merchant wholesalers ,4480,4245,
Petroleum and petroleum products merchant wholesalers ,4490,4247,
Alcoholic beverages merchant wholesalers ,4560,4248,
Farm supplies merchant wholesalers ,4570,42491,
Miscellaneous nondurable goods merchant wholesalers ,4580,4249 exc. 42491,
Wholesale electronic markets and agents and brokers ,4585,4251,
Not specified wholesale trade,4590,Part of 42,
,,,
Retail trade,4670–5790,44–45,
,,,
Automobile dealers ,4670,4411,
Other motor vehicle dealers ,4680,4412,
"Automotive parts, accessories, and tire stores  ",4690,4413,
Furniture and home furnishings stores ,4770,442,
Household appliance stores ,4780,443141,
Electronics stores,4795,443142,
Building material and supplies dealers,4870,4441 exc. 44413,
Hardware stores ,4880,44413,
Lawn and garden equipment and supplies stores ,4890,4442,
Grocery stores ,4970,4451,
Specialty food stores,4980,4452,
"Beer, wine, and liquor stores ",4990,4453,
Pharmacies and drug stores ,5070,44611,
"Health and personal care, except drug, stores ",5080,446 exc. 44611,
Gasoline stations ,5090,447,
Clothing stores,5170,4481,
Shoe stores ,5180,44821,
"Jewelry, luggage, and leather goods stores ",5190,4483,
"Sporting goods, and hobby and toy stores",5275,"45111, 45112",
"Sewing, needlework, and piece goods stores ",5280,45113,
Musical instrument and supplies stores ,5295,45114,
Book stores and news dealers ,5370,45121,
Department stores and discount stores                                    ,5380,45211,
Miscellaneous general merchandise stores,5390,4529,
Retail florists,5470,4531,
Office supplies and stationery stores,5480,45321,
Used merchandise stores ,5490,4533,
"Gift, novelty, and souvenir shops ",5570,45322,
Miscellaneous retail stores ,5580,4539,
Electronic shopping,5590,454111,
Electronic auctions   ,5591,454112,
Mail-order houses,5592,454113,
Vending machine operators ,5670,4542,
Fuel dealers ,5680,454310,
Other direct selling establishments,5690,45439,
Not specified retail trade,5790,"Part of 44, 45",
,,,
Transportation and utilities,"6070–6390, 0570–0690","22, 48–49",
,,,
Transportation and warehousing     ,6070–6390,48–49,
,,,
Air transportation ,6070,481,
Rail transportation ,6080,482,
Water transportation ,6090,483,
Truck transportation ,6170,484,
Bus service and urban transit,6180,"4851, 4852, 4854, 4855, 4859",
Taxi and limousine service ,6190,4853,
Pipeline transportation ,6270,486,
Scenic and sightseeing transportation ,6280,487,
Services incidental to transportation ,6290,488,
Postal Service ,6370,491,
Couriers and messengers ,6380,492,
Warehousing and storage ,6390,493,
,,,
Utilities,0570–0690,22,
,,,
"Electric power generation, transmission, and distribution",0570,Pt.  2211,
Natural gas distribution ,0580,Pt.  2212,
"Electric and gas, and other combinations ",0590,"Pts. 2211, 2212",
"Water, steam, air-conditioning, and irrigation systems ",0670,"22131, 22133",
Sewage treatment facilities ,0680,22132,
Not specified utilities ,0690,Part of 22,
,,,
,,,
Information,6470–6780,51,
,,,
Newspaper publishers,6470,51111,
"Periodical, book, and directory publishers",6480,5111 exc. 51111,
Software publishers,6490,5112,
Motion pictures and video industries,6570,5121,
Sound recording industries,6590,5122,
Radio and television broadcasting and cable subscription programming,6670,515,
Internet publishing and broadcasting and web search portals,6672,51913,
Wired telecommunications carriers ,6680,5171,
Other telecommunications services,6690,517 exc. 5171,
"Data processing, hosting, and related services",6695,5182,
Libraries and archives,6770,51912,
Other information services,6780,"5191 exc. 51912, 51913",
,,,
Financial Activities,6870–7190,52–53,
,,,
Finance and insurance,6870–6990,52,
,,,
Banking and related activities,6870,"521, 52211, 52219",
"Savings institutions, including credit unions ",6880,"52212, 52213",
Nondepository credit and related activities,6890,"5222, 5223",
"Securities, commodities, funds, trusts, and other financial investments",6970,"523, 525",
Insurance carriers and related activities ,6990,524,
,,,
Real estate and rental and leasing,7070-7190,53,
,,,
Real estate ,7070,531,
Rental and leasing services,7080-7190,532–533,
Automotive equipment rental and leasing ,7080,5321,
Video tape and disk rental ,7170,53223,
Other consumer goods rental,7180,"53221, 53222, 53229, 5323",
"Commercial, industrial, and other intangible assets rental and leasing",7190,"5324, 533",
,,,
Professional and business services,7270–7790,54–56,
,,,
Professional and technical services,7270–7490,54,
,,,
Legal services ,7270,5411,
"Accounting, tax preparation, bookkeeping, and payroll services",7280,5412,
"Architectural, engineering, and related services ",7290,5413,
Specialized design services ,7370,5414,
Computer systems design and related services ,7380,5415,
"Management, scientific, and technical consulting services",7390,5416,
Scientific research and development services ,7460,5417,
"Advertising, public relations, and related services ",7470,5418,
Veterinary services ,7480,54194,
"Other professional, scientific, and technical services",7490,5419 exc. 54194,
,,,
"Management, administrative, and waste services",7570–7790,55–56,
,,,
Management of companies and enterprises ,7570,55,
Employment services ,7580,5613,
Business support services ,7590,5614,
Travel arrangements and reservation services ,7670,5615,
Investigation and security services ,7680,5616,
Services to buildings and dwellings,7690,5617 exc. 56173,
Landscaping services,7770,56173,
Other administrative and other support services,7780,"5611, 5612, 5619",
Waste management and remediation services ,7790,562,
,,,
Education and health services,7860–8470,61–62,
,,,
Educational services,7860–7890,61,
,,,
Elementary and secondary schools ,7860,6111,
"Colleges, universities, and professional schools, including junior colleges ",7870,"6112, 6113",
"Business, technical, and trade schools and training ",7880,"6114, 6115",
"Other schools and instruction, and educational support services ",7890,"6116, 6117",
,,,
Health care and social assistance,7970–8470,62,
,,,
Hospitals,8190,622,
"Health services, except hospitals","7970–8180,   8270–8290",,
Offices of physicians ,7970,6211,
Offices of dentists ,7980,6212,
Offices of chiropractors ,7990,62131,
Offices of optometrists ,8070,62132,
Offices of other health practitioners  ,8080,"6213 exc. 62131, 62132",
Outpatient care centers ,8090,6214,
Home health care services ,8170,6216,
Other health care services ,8180,"6215, 6219",
Nursing care facilities (skilled nursing facilities),8270,6231,
"Residential care facilities, except skilled nursing facilities",8290,"6232, 6233, 6239",
Social assistance,8370–8470,624,
Individual and family services ,8370,6241,
"Community food and housing, and emergency services ",8380,6242,
Vocational rehabilitation services ,8390,6243,
Child day care services ,8470,6244,
,,,
Leisure and hospitality,8560–8690,71–72,
,,,
"Arts, entertainment, and recreation",8560–8590,71,
,,,
"Independent artists, performing arts, spectator sports, and related industries",8560,711,
"Museums, art galleries, historical sites, and similar institutions",8570,712,
Bowling centers ,8580,71395,
"Other amusement, gambling, and recreation industries   ",8590,713 exc. 71395,
,,,
Accommodation and food services,8660–8690,72,
,,,
Accommodation,8660–8670,721,
Traveler accommodation ,8660,7211,
"Recreational vehicle parks and camps, and rooming and boarding houses",8670,"7212, 7213",
Food services and drinking places,8680–8690,722,
Restaurants and other food services ,8680,722 exc. 7224,
"Drinking places, alcoholic beverages ",8690,7224,
,,,
,,,
Other services ,8770–9290,81,
,,,
Repair and maintenance,8770–8890,811,
Automotive repair and maintenance,8770,8111 exc. 811192,
Car washes,8780,811192,
Electronic and precision equipment repair and maintenance,8790,8112,
Commercial and industrial machinery and equipment repair and maintenance,8870,8113,
Personal and household goods repair and maintenance,8880,8114 exc. 81143,
Footwear and leather goods repair ,8890,81143,
Personal and laundry services,8970–9090,812,
Barber shops ,8970,812111,
Beauty salons ,8980,812112,
Nail salons and other personal care services  ,8990,"812113, 81219",
Drycleaning and laundry services ,9070,8123,
"Funeral homes, and cemeteries and crematories ",9080,8122,
Other personal services ,9090,8129,
Membership associations and organizations,9160–9190,813,
Religious organizations ,9160,8131,
"Civic, social, advocacy organizations, and grantmaking and giving services",9170,"8132, 8133, 8134",
Labor unions,9180,81393,
"Business, professional, political, and similar organizations",9190,8139 exc. 81393,
Private households ,9290,814,
,,,
,,,
Public administration,9370–9590,92,
,,,
Executive offices and legislative bodies,9370,"92111, 92112, 92114, pt. 92115",
Public finance activities ,9380,92113,
Other general government and support ,9390,92119,
"Justice, public order, and safety activities ",9470,"922, pt. 92115",
Administration of human resource programs  ,9480,923,
Administration of environmental quality and housing programs ,9490,"924, 925",
Administration of economic programs and space research,9570,"926, 927",
National security and international affairs ,9590,928,
,,,
,,,
 ,,,
n.e.c. = not elsewhere classified,,,
,,,
,,,
,,,
 ,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
