PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2011,Accountants and Auditors,detailed,"13,240",4.3,13.086,1.47,48.36,"100,580",3.4,25.25,32.76,43.01,58.34,77.18,"52,520","68,150","89,470","121,360","160,530",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2021,Appraisers and Assessors of Real Estate,detailed,**,**,**,**,49.74,"103,460",18.6,28.73,33.20,38.90,63.22,85.70,"59,750","69,060","80,910","131,490","178,260",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2031,Budget Analysts,detailed,400,12.6,0.398,0.97,42.52,"88,430",2.7,27.12,33.87,42.40,50.62,59.71,"56,420","70,440","88,190","105,290","124,200",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2041,Credit Analysts,detailed,810,41.3,0.803,1.56,39.58,"82,320",4.1,27.16,32.09,36.85,43.40,48.50,"56,490","66,750","76,660","90,270","100,890",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2051,Financial Analysts,detailed,"4,010",13.5,3.964,2.04,56.11,"116,700",2.8,33.16,41.07,51.64,66.35,83.10,"68,970","85,420","107,410","138,010","172,850",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2052,Personal Financial Advisors,detailed,"1,080",15.9,1.069,0.75,73.12,"152,100",12.8,24.35,33.47,45.28,#,#,"50,640","69,620","94,170",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2061,Financial Examiners,detailed,140,21.4,0.141,0.44,43.90,"91,300",5.4,25.50,31.58,41.91,56.34,69.60,"53,050","65,680","87,170","117,190","144,760",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2071,Credit Counselors,detailed,100,36.0,0.101,0.46,*,*,*,*,*,*,*,*,*,*,*,*,*,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2072,Loan Officers,detailed,"1,440",16.6,1.419,0.64,47.65,"99,120",6.9,19.19,25.92,35.48,60.55,#,"39,910","53,910","73,800","125,950",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,220,1.0,0.220,0.51,43.62,"90,740",7.4,27.81,33.06,43.94,55.42,61.75,"57,850","68,760","91,400","115,280","128,440",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2082,Tax Preparers,detailed,"1,190",17.7,1.179,2.26,30.55,"63,550",12.6,10.25,15.31,25.57,37.07,57.83,"21,330","31,840","53,180","77,110","120,280",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-2099,"Financial Specialists, All Other",detailed,"1,120",24.3,1.108,1.20,37.53,"78,050",6.1,21.55,25.53,30.80,46.90,65.45,"44,820","53,100","64,060","97,560","136,130",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-0000,Computer and Mathematical Occupations,major,"126,360",9.4,124.886,4.30,61.95,"128,850",3.3,33.73,46.74,60.40,75.76,#,"70,160","97,210","125,640","157,570",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1111,Computer and Information Research Scientists,detailed,"1,810",28.2,1.791,9.68,74.12,"154,160",8.3,40.43,52.92,68.06,89.44,#,"84,100","110,070","141,560","186,030",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1121,Computer Systems Analysts,detailed,"14,240",15.5,14.073,3.49,55.19,"114,790",2.0,32.59,41.83,54.18,67.60,78.89,"67,800","87,000","112,690","140,610","164,090",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1122,Information Security Analysts,detailed,"1,110",9.2,1.096,1.70,61.31,"127,530",2.2,35.35,49.64,58.45,72.47,88.49,"73,520","103,250","121,570","150,740","184,060",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1131,Computer Programmers,detailed,"6,510",17.0,6.435,3.07,45.16,"93,940",3.4,22.35,29.39,44.75,58.22,72.53,"46,480","61,120","93,080","121,100","150,860",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1132,"Software Developers, Applications",detailed,"42,650",17.7,42.156,7.77,70.78,"147,220",4.5,46.64,55.48,67.90,82.33,#,"97,020","115,390","141,230","171,250",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1133,"Software Developers, Systems Software",detailed,"27,260",5.9,26.941,9.51,68.73,"142,950",2.5,45.42,55.30,67.31,82.60,#,"94,480","115,020","140,000","171,800",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1134,Web Developers,detailed,"2,930",18.9,2.893,3.14,51.68,"107,500",2.2,30.44,37.11,49.85,66.32,80.74,"63,320","77,190","103,690","137,940","167,930",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1141,Database Administrators,detailed,"1,400",22.3,1.384,1.68,49.63,"103,230",3.2,26.61,35.27,49.04,63.11,75.65,"55,340","73,370","102,010","131,260","157,360",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1142,Network and Computer Systems Administrators,detailed,"6,270",9.5,6.199,2.28,49.94,"103,870",1.5,31.81,38.68,48.76,59.76,72.40,"66,160","80,450","101,420","124,300","150,590",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1143,Computer Network Architects,detailed,"3,170",13.7,3.136,2.95,69.55,"144,670",1.8,46.64,56.78,69.19,81.02,#,"97,010","118,110","143,920","168,520",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1151,Computer User Support Specialists,detailed,"7,850",17.6,7.755,1.83,37.61,"78,230",2.0,19.34,25.94,36.55,48.30,58.82,"40,240","53,960","76,030","100,470","122,340",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1152,Computer Network Support Specialists,detailed,"3,280",24.1,3.241,2.42,44.34,"92,220",2.0,26.78,33.19,42.52,54.63,65.80,"55,700","69,040","88,430","113,620","136,850",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-1199,"Computer Occupations, All Other",detailed,"4,120",8.9,4.069,2.51,59.66,"124,100",4.0,27.93,38.57,57.82,74.52,#,"58,080","80,230","120,270","155,000",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-2031,Operations Research Analysts,detailed,"3,360",45.0,3.320,4.78,55.39,"115,210",3.2,32.71,41.97,54.77,68.21,79.47,"68,030","87,290","113,920","141,880","165,300",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",15-2041,Statisticians,detailed,320,7.4,0.315,1.46,66.79,"138,910",8.5,41.02,53.29,65.92,77.52,#,"85,310","110,850","137,120","161,240",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-0000,Architecture and Engineering Occupations,major,"57,390",3.7,56.714,3.16,55.15,"114,710",1.3,27.42,38.12,54.17,70.84,84.39,"57,040","79,280","112,680","147,350","175,530",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-1011,"Architects, Except Landscape and Naval",detailed,480,40.2,0.470,0.69,43.40,"90,260",6.1,25.84,32.84,41.98,50.19,62.42,"53,740","68,300","87,320","104,390","129,830",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-1012,Landscape Architects,detailed,**,**,**,**,37.65,"78,310",3.7,30.55,32.31,35.23,41.79,50.13,"63,550","67,210","73,280","86,920","104,260",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-1021,Cartographers and Photogrammetrists,detailed,100,26.5,0.103,1.19,38.72,"80,530",5.7,25.43,31.64,37.86,46.14,55.94,"52,890","65,810","78,740","95,970","116,360",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-1022,Surveyors,detailed,370,30.4,0.368,1.18,38.36,"79,800",3.2,26.16,32.22,38.74,45.07,50.46,"54,400","67,030","80,580","93,740","104,950",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2011,Aerospace Engineers,detailed,**,**,**,**,52.43,"109,050",3.7,26.96,35.26,49.53,68.06,81.11,"56,080","73,340","103,020","141,560","168,700",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2031,Biomedical Engineers,detailed,760,19.0,0.754,4.98,60.78,"126,430",2.3,40.20,48.00,58.33,74.50,86.32,"83,610","99,850","121,320","154,950","179,550",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2041,Chemical Engineers,detailed,190,26.3,0.183,0.78,53.35,"110,970",7.1,30.05,39.29,48.69,62.32,79.51,"62,510","81,730","101,280","129,630","165,370",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2051,Civil Engineers,detailed,"2,590",12.9,2.557,1.28,51.44,"107,000",2.8,30.57,39.24,49.15,60.95,75.55,"63,590","81,610","102,230","126,790","157,140",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2061,Computer Hardware Engineers,detailed,"12,640",6.4,12.493,22.71,67.79,"141,000",1.3,45.16,55.21,67.33,78.39,#,"93,940","114,830","140,050","163,050",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2071,Electrical Engineers,detailed,"5,830",18.4,5.764,4.45,64.71,"134,610",1.9,41.34,52.18,66.30,77.17,89.47,"85,990","108,540","137,900","160,520","186,110",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2072,"Electronics Engineers, Except Computer",detailed,"7,070",10.4,6.991,7.12,63.44,"131,960",2.2,37.59,47.16,60.55,76.28,#,"78,190","98,080","125,940","158,660",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2081,Environmental Engineers,detailed,220,33.9,0.221,0.58,46.07,"95,830",4.6,23.45,37.69,44.69,58.08,72.06,"48,780","78,400","92,940","120,800","149,890",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,200,15.8,0.199,1.10,53.39,"111,050",2.0,38.13,44.72,54.05,62.27,72.86,"79,320","93,010","112,430","129,530","151,550",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2112,Industrial Engineers,detailed,"4,320",10.1,4.271,2.38,57.05,"118,670",2.5,35.75,44.55,55.24,67.89,80.04,"74,350","92,670","114,900","141,210","166,480",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2131,Materials Engineers,detailed,920,35.0,0.906,4.62,58.38,"121,440",4.0,42.20,50.96,56.45,62.07,80.01,"87,780","106,000","117,420","129,100","166,420",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2141,Mechanical Engineers,detailed,"3,860",9.9,3.816,1.89,56.06,"116,600",2.6,33.29,42.76,55.35,69.04,79.88,"69,240","88,940","115,130","143,610","166,140",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-2199,"Engineers, All Other",detailed,"3,110",12.9,3.077,3.38,58.74,"122,180",1.4,36.30,45.07,58.69,72.71,81.37,"75,500","93,750","122,070","151,230","169,240",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3011,Architectural and Civil Drafters,detailed,690,20.5,0.684,0.99,29.04,"60,400",2.8,19.48,22.72,28.12,34.73,40.62,"40,520","47,260","58,490","72,240","84,490",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3012,Electrical and Electronics Drafters,detailed,590,33.4,0.580,2.74,32.01,"66,570",5.2,20.13,24.88,28.72,37.12,47.71,"41,870","51,740","59,730","77,210","99,240",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3013,Mechanical Drafters,detailed,330,15.9,0.323,0.68,32.43,"67,460",3.5,19.90,25.37,30.91,40.10,46.50,"41,390","52,760","64,290","83,410","96,720",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3019,"Drafters, All Other",detailed,40,27.8,0.043,0.38,26.35,"54,800",6.5,16.35,18.36,26.38,32.89,37.66,"34,000","38,200","54,860","68,410","78,320",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3021,Aerospace Engineering and Operations Technicians,detailed,330,46.7,0.326,3.49,34.38,"71,520",5.1,22.87,28.29,34.24,40.71,46.60,"47,560","58,850","71,220","84,680","96,920",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3022,Civil Engineering Technicians,detailed,500,21.3,0.491,0.95,26.30,"54,700",12.1,13.41,16.00,26.78,34.82,39.78,"27,890","33,280","55,690","72,420","82,750",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3023,Electrical and Electronics Engineering Technicians,detailed,"5,800",6.7,5.732,5.68,32.80,"68,220",3.0,21.14,25.16,30.80,37.24,46.42,"43,970","52,330","64,070","77,460","96,540",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3024,Electro-Mechanical Technicians,detailed,260,28.7,0.260,2.43,26.57,"55,260",5.0,15.98,20.44,26.45,29.93,38.02,"33,240","42,520","55,010","62,260","79,080",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3025,Environmental Engineering Technicians,detailed,190,30.5,0.184,1.46,35.00,"72,800",7.4,21.16,26.31,35.90,43.96,48.13,"44,020","54,720","74,680","91,440","100,110",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3026,Industrial Engineering Technicians,detailed,650,13.6,0.639,1.41,33.06,"68,770",4.9,18.79,23.87,29.42,38.35,48.59,"39,090","49,650","61,180","79,770","101,060",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3027,Mechanical Engineering Technicians,detailed,860,41.8,0.851,2.40,27.92,"58,070",5.0,14.93,21.34,27.61,34.49,40.85,"31,050","44,380","57,430","71,750","84,970",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"1,200",8.7,1.190,2.32,36.47,"75,860",4.1,17.57,24.52,34.44,47.08,58.73,"36,540","51,010","71,640","97,930","122,150",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",17-3031,Surveying and Mapping Technicians,detailed,200,26.6,0.200,0.51,30.24,"62,890",6.3,19.29,23.70,28.04,38.72,45.77,"40,120","49,290","58,310","80,530","95,200",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-0000,"Life, Physical, and Social Science Occupations",major,"11,090",7.3,10.959,1.32,42.63,"88,670",3.9,20.22,26.62,38.19,54.70,72.56,"42,050","55,370","79,440","113,780","150,920",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-1012,Food Scientists and Technologists,detailed,240,12.3,0.235,2.21,51.50,"107,110",7.3,27.73,36.16,49.70,61.07,77.40,"57,680","75,220","103,380","127,020","161,000",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-1013,Soil and Plant Scientists,detailed,140,36.6,0.139,1.31,*,*,*,*,*,*,*,*,*,*,*,*,*,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-1021,Biochemists and Biophysicists,detailed,530,42.4,0.528,2.36,56.25,"117,000",7.3,31.87,40.57,51.90,65.26,87.36,"66,300","84,390","107,950","135,730","181,710",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-1022,Microbiologists,detailed,220,25.3,0.221,1.44,43.59,"90,660",4.5,27.43,33.38,42.58,52.23,61.35,"57,050","69,430","88,560","108,640","127,610",,
