Case ID,Trade Name,Legal Name,Backwages,Minimum Wage Backwages,Penalty,EEs Paid in Violation,Minimum Wage Backwages per Employee,Backwages per Employee,Start Date,End Date,State,County,City,Full Address,NAICS2,NAICS3,Industry Subcategory,NAICS3 Industry
1742978,Granite Construction Company,Granite Construction Company,3504.02,0,0,1,0,3504,3/1/2014,5/2/2015,CA,Santa Cruz County,Watsonville,585 West Beach St Watsonville CA 95076,23,237,"Highway, Street, and Bridge Construction",Heavy and Civil Engineering Construction
1754041,"IDEO, LP","IDEO, LP",68828.96,0,4400,8,0,8604,4/30/2012,4/29/2015,CA,Santa Clara County,Palo Alto,150 FOREST STREET Palo Alto CA 94301,54,541,Specialized Design Services,"Professional, Scientific, and Technical Services"
1759187,La Biang Thai Massage,Vilai A. Corooration,4080,0,0,3,0,1360,4/30/2012,4/29/2015,CA,San Francisco County,San Francisco,1301 Polk St. San Francisco CA 94109,62,621,Offices of All Other Miscellaneous Health Practitioners,Ambulatory Health Care Services
1759214,Project Zen,"Zen Holistic Health, Inc.",6031.48,0,0,5,0,1206,4/30/2012,4/29/2015,CA,San Francisco County,San Francisco,325 Bay Street San Francisco CA 94133,62,621,All Other Miscellaneous Ambulatory Health Care Services,Ambulatory Health Care Services
1761230,"TWI West Coast, San Francisco","TWI West Coast Inc., San Francisco",1370.64,0,0,3,0,457,10/27/2014,4/29/2015,CA,San Francisco County,San Francisco,"3801 3rd St., Suite 114 San Francisco CA 94124",45,453,Other Miscellaneous Store Retailers,Miscellaneous Store Retailers 
1746959,Towne Ford Sales,"Towne Motor Company, Inc.",7863.47,0,0,1,0,7863,10/1/2013,4/23/2015,CA,San Mateo County,Redwood City,1601 El Camino Real Redwood City CA 94063,44,441,New Car Dealers,Motor Vehicle and Parts Dealers 
1758620,Denny's Restaurants,"Western food Service, LLC.",71.41,71.41,0,1,71,71,4/22/2013,4/21/2015,CA,Alameda County,Pleasanton,6455 Owen Dr Pleasanton CA 94588,72,722,Full-Service Restaurants,Food Services and Drinking Places
1754283,The Blind Guy,"Windows Covering Experts, LLC.",875,0,0,2,0,438,4/16/2013,4/15/2015,CA,Contra Costa County,Brentwood,"420 Beatrice Court, Ste G Brentwood CA 94513",45,453,All Other Miscellaneous Store Retailers (except Tobacco Stores),Miscellaneous Store Retailers 
1766820,Mi Tierra Mercado Y Carniceria,MI TIERRA MERCADO Y CARNICERIA,2083.25,0,0,2,0,1042,4/15/2013,4/15/2015,CA,Contra Costa County,Bay Point,3005 Willow Pass Road Bay Point CA 94565,44,445,Supermarkets and Other Grocery (except Convenience) Stores,Food and Beverage Stores 
1757175,Five Emerald Limo,"Five Emerald Limousine, Inc.",36317.31,2278.86,0,10,228,3632,4/1/2014,4/8/2015,CA,San Mateo County,South San Francisco,"849 West Orange Ave., #3009 South San Francisco CA 94080",48,485,Taxi and Limousine Service,Transit and Ground Passenger Transportation
1755467,"Kevin Robison Construction, Inc.","Kevin Robison Construction, Inc",7567.5,0,0,5,0,1514,4/7/2013,4/6/2015,CA,Sonoma County,Penngrove,10059 Main Street Penngrove CA 94951,23,237,"Highway, Street, and Bridge Construction",Heavy and Civil Engineering Construction
1756828,Marilla Chocolate Co.,Marilla Chocolate Co. INC.,3263.45,0,0,4,0,816,3/30/2012,3/31/2015,CA,San Francisco County,San Francisco,(San Fco Airport) San Francisco CA 94125,45,453,All Other Miscellaneous Store Retailers,Miscellaneous Store Retailers 
1761698,California Lifestyles,Marilla Chocolates Company Inc.,3312.58,0,0,3,0,1104,3/30/2012,3/31/2015,CA,San Francisco County,San Francisco,Sfo San Francisco CA 94125,45,453,All Other Miscellaneous Store Retailers,Miscellaneous Store Retailers 
1755047,San Francisco PUC- Water Department,City and County of San Francisco,649.85,0,0,1,0,650,3/28/2013,3/25/2015,CA,San Mateo County,Millbrae,1000 El Camino Real Millbrae CA 94030,22,221,Water Supply and Irrigation Systems,Utilities 
1755251,Spyglass Senior Villa #3,Spyglass Senior Villa,14746.88,0,0,2,0,7373,3/19/2013,3/18/2015,CA,Contra Costa County,Brentwood,2870 Falcon Court Brentwood CA 94513,62,621,Home Health Care Services,Ambulatory Health Care Services
1755252,Spyglass Senior Villa #4,Spyglass Senior Villa,10354.5,0,0,2,0,5177,3/19/2013,3/18/2015,CA,Contra Costa County,Oakley,39 Calla Court Oakley CA 94561,62,621,Home Health Care Services,Ambulatory Health Care Services
1755237,Sarah's Senior Residential Care (Clover),Sarah's Group Homes,3684.66,0,0,6,0,614,3/18/2013,3/17/2015,CA,Sonoma County,Santa Rosa,1601 Clover Drive Santa Rosa CA 95401,62,623,Homes for the Elderly,Nursing and Residential Care Facilities
1755238,Sarah's Elderly Care (Anna Dr),Sarah's Group Homes,3829.61,0,0,3,0,1277,3/18/2013,3/17/2015,CA,Sonoma County,Windsor,130 Anna Drive Windsor CA 95492,62,623,Homes for the Elderly,Nursing and Residential Care Facilities
1755239,Sarah's Home for Seniors (Piccadilly Cir),Sarah's Group Home,12458.12,0,0,3,0,4153,3/18/2013,3/17/2015,CA,Sonoma County,Windsor,9132 Piccadilly Circle Windsor CA 95492,62,623,Homes for the Elderly,Nursing and Residential Care Facilities
1755240,Sarah's Retirement Home for DD Seniors (McCo),Sarah's Group Homes,111207.78,285.01,0,26,11,4277,3/18/2013,3/17/2015,CA,Sonoma County,Santa Rosa,791 McConnell Avenue Santa Rosa CA 95404,62,623,Homes for the Elderly,Nursing and Residential Care Facilities
1755248,Spyglass Senior Villa,Spyglass Senior Villa,2139.37,0,0,1,0,2139,4/21/2013,3/15/2015,CA,Contra Costa County,Brentwood,2436 Spyglass Drive Brentwood CA 94513,62,621,Home Health Care Services,Ambulatory Health Care Services
1731982,San Mateo County  HSA Children & Family Ser.,The County of San Mateo,1762175.9,0,0,125,0,14097,6/13/2011,3/11/2015,CA,San Mateo County,Belmont,1 Davis Drive Belmont CA 94002,62,624,Emergency and Other Relief Services,Social Assistance
1746960,Block by Block,"Mydatt Services, Inc.",727.14,0,0,1,0,727,7/22/2013,3/10/2015,CA,Santa Clara County,San Jose,99 North 1st St. San Jose CA 95113,56,561,Janitorial Services,Administrative and Support Services
1745916,Bay Area Rapid Transit District (BART),San Francisco Bay Area Rapid Transit District,15829.29,0,0,6,0,2638,3/6/2013,3/5/2015,CA,Alameda County,Oakland,300 Lakeside Drive Oakland CA 94604,48,485,Commuter Rail Systems,Transit and Ground Passenger Transportation
1759911,BAY AREA HIGH REACH,Bay Area High Reach Inc.,842.82,0,0,6,0,140,6/1/2014,2/28/2015,CA,Alameda County,Hayward,22390 THUNDERBIRD PLACE Hayward CA 94545,23,236,Industrial Building Construction,Construction of Buildings
1752802,"California Cider Company, Ace Cider","California Cider Company, Inc.",224.07,0,0,1,0,224,2/25/2013,2/24/2015,CA,Sonoma County,Sebastopol,2064 Gravenstein Highway North Sebastopol CA 95472,31,312,Breweries,Beverage and Tobacco Product Manufacturing
1752836,"La Vina Packing, Inc.","La Vina Packing, Inc.",70,0,550,2,0,35,2/1/2015,2/15/2015,CA,Monterey County,Soledad,1094 Monterey Street Soledad CA 93960,11,115,Farm Labor Contractors and Crew Leaders,Support Activities for Agriculture and Forestry
1753041,SO.MO.CO Labor Supply,"SOMOCO Labor Supply, Inc.",972,0,1200,9,0,108,1/5/2015,2/14/2015,CA,Monterey County,Greenfield,"44 El Camino Real, Suite B Greenfield CA 93927",11,115,Farm Labor Contractors and Crew Leaders,Support Activities for Agriculture and Forestry
1751784,Mission Bay Works,Mission Bay Inc.,4333.09,0,0,9,0,481,2/14/2013,2/13/2015,CA,Santa Clara County,San Jose,50 Las Colinas Lane San Jose CA 95119,62,624,Services for the Elderly and Persons with Disabilities,Social Assistance
1752840,"Alicia Arroyo, Inc.",Agri-Labor Services,0,0,3000,0,0,0,1/11/2015,2/13/2015,CA,Monterey County,Gonzales,"800 5th Street, Unit 4 Gonzales CA 93926",11,115,Farm Labor Contractors and Crew Leaders,Support Activities for Agriculture and Forestry
1753129,"Quality Farm Labor, Inc.","Quality Farm Labor, Inc.",0,0,1700,0,0,0,1/3/2015,2/11/2015,CA,Monterey County,Gonzales,21 Fourth Street Gonzales CA 93926,11,111,Grape Vineyards,Crop Production
1750832,Bay Area Tile and Stone,"Bay Area Tile & Stone, LLC",7186.55,0,0,12,0,599,6/4/2013,2/5/2015,CA,Alameda County,Hayward,19424 Cabot Blvd. Hayward CA 94545,23,238,All Other Specialty Trade Contractors,Specialty Trade Contractors
1690655,"National Consolidated Couriers, Inc","National Consolidated Couriers, Inc",2806.71,2491.39,0,16,156,175,4/5/2010,2/1/2015,CA,Marin County,San Rafael,"1221 Anderson Drive, Suite N San Rafael CA 94901",49,492,Couriers and Express Delivery Services,Couriers and Messengers
1686786,"National Consolidated Couriers, Inc","National Consolidated Couriers, Inc",1448275.09,347908,0,336,1035,4310,4/5/2010,2/1/2015,CA,Alameda County,San Leandro,14755 Catalina Street San Leandro CA 94577,49,492,Couriers and Express Delivery Services,Couriers and Messengers
1670069,"National Consolidated Couriers, Inc.","National Consolidated Couriers, Inc.",590144.22,145695.32,0,68,2143,8679,4/5/2010,2/1/2015,CA,Santa Clara County,San Jose,836 Jury Court San Jose CA 95112,49,492,Local Messengers and Local Delivery,Couriers and Messengers
1751321,Ferme A Papier,Ferme A Papier,6564.11,6564.11,0,11,597,597,5/1/2013,1/30/2015,CA,San Francisco County,San Francisco,2406 Polk Street San Francisco CA 94109,32,322,Stationery Product Manufacturing,Paper Manufacturing
1748656,KHOOBSURAT THREADING SALON,"KHOOBSURAT THREADING SALON, INC",576.53,0,0,9,0,64,1/15/2012,1/15/2015,CA,Santa Clara County,Sunnyvale,1014 E. EL CAMINO REAL Sunnyvale CA 94087,81,812,Beauty Salons,Personal and Laundry Services
1751885,Astute Business Solutions,Astute Business Solutions,4000,0,0,1,0,4000,1/14/2014,1/13/2015,CA,Alameda County,Pleasanton,4637 Chabot drive Suite 220 Pleasanton CA 94588,54,541,Computer Systems Design and Related Services,"Professional, Scientific, and Technical Services"
1748801,Bank of the West,Bank of the West,33750.47,0,0,14,0,2411,1/15/2012,1/13/2015,CA,Contra Costa County,San Ramon,12677 Alcosta Blvd San Ramon CA 94583,52,521,Monetary Authorities-Central Bank,Monetary Authorities-Central Bank
1748563,Sellers Painting Inc,Sellers Painting Inc,2928.1,0,0,1,0,2928,1/10/2013,1/9/2015,CA,Contra Costa County,Discovery Bay,5830 Starboard Drive Discovery Bay CA 94505,23,238,Painting and Wall Covering Contractors,Specialty Trade Contractors
1748562,Westwood Residential Care,NGM Corporation,3034.65,2202.72,0,1,2203,3035,1/8/2013,1/7/2015,CA,Contra Costa County,Pittsburg,2228 Westwood Ct Pittsburg CA 94565,62,623,Residential Mental Retardation Facilities,Nursing and Residential Care Facilities
1746494,County of Santa Clara,County of Santa Clara,4551.97,0,0,1,0,4552,1/1/2012,12/31/2014,CA,Santa Clara County,San Jose,333 West Julian Street San Jose CA 95110,98,989,Other Local Governmental Facilities,State and Local Government
1748564,BAY AREA DOCTORS INC.,"BAY AREA DOCTORS, INC.",23809.5,0,0,1,0,23810,3/21/2011,12/28/2014,CA,Contra Costa County,Pittsburg,3006 Railroad Ave Ste 100 Pittsburg CA 94565,62,621,All Other Miscellaneous Ambulatory Health Care Services,Ambulatory Health Care Services
1752886,Rancho Cielo,"Rancho Cielo, Inc.",36771.04,0,0,1,0,36771,6/8/2014,12/24/2014,CA,Monterey County,Salinas,710 Old Stage Road Salinas CA 93907,81,813,Other Social Advocacy Organizations,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1756029,Trimble Navigation Limited,Trimble Navigation Limited,17896.69,0,0,1,0,17897,12/17/2013,12/22/2014,CA,Santa Clara County,Sunnyvale,935 Stewart Dr. Sunnyvale CA 94085,33,334,Other Measuring and Controlling Device Manufacturing,Computer and Electronic Product Manufacturing
1746358,Pho Hiep Hung,Pho Hiep Hung,20478,11175.5,0,1,11176,20478,12/18/2012,12/17/2014,CA,Alameda County,Oakland,401 International Blvd Oakland CA 94606,72,722,Full-Service Restaurants,Food Services and Drinking Places
1713695,"Jetlore, Inc.","Jetlore, Inc.",2980.77,0,0,1,0,2981,3/20/2010,12/17/2014,CA,Santa Clara County,Sunnyvale,"150 West Iowa Avenue, Suite 203 Sunnyvale CA 94086",51,519,All Other Information Services,Other Information Services
1748073,Island Auto Repair,Island Auto Repair,2835,0,0,1,0,2835,12/12/2012,12/11/2014,CA,Alameda County,San Leandro,14140 Washington Ave San Leandro CA 94578,81,811,General Automotive Repair,Repair and Maintenance
1746530,Garden Liquors & Deli,Santa Cruz Garden Liquor & Deli Inc,4079.25,0,0,1,0,4079,12/1/2012,12/5/2014,CA,Santa Cruz County,Santa Cruz,1815 Soquel Drive Santa Cruz CA 95065,72,722,Limited-Service Restaurants,Food Services and Drinking Places
1751126,STRATEGISM,Strategism  Inc.,750,0,0,1,0,750,12/3/2013,12/2/2014,CA,Alameda County,Fremont,2450 PERALTA Fremont CA 94536,54,541,Computer Systems Design and Related Services,"Professional, Scientific, and Technical Services"
1751939,AMERICAN IRON AND LUMBER,"American Iron & Lumber, Inc.",8700,8700,0,8,1088,1088,6/1/2014,12/1/2014,CA,Contra Costa County,Clayton,6420 Morgan Territory Road Clayton CA 94517,32,326,All Other Plastics Product Manufacturing,Plastics and Rubber Products Manufacturing
1735912,The Cheese School of San Francisco,"The Cheese Study, LLC",9337.82,9337.82,0,20,467,467,12/1/2012,12/1/2014,CA,San Francisco County,San Francisco,2124 Folsom St San Francisco CA 94110,72,722,Full-Service Restaurants,Food Services and Drinking Places
1745905,Broadway Bistro,"T&W, LLC",34336.04,1069.09,0,16,67,2146,11/30/2012,11/28/2014,CA,San Mateo County,Millbrae,349 Broadway Street Millbrae CA 94030,72,722,Full-Service Restaurants,Food Services and Drinking Places
1746375,Lockheed Martin,Lockheed Martin Global Training and Logistics,20566.05,0,0,1,0,20566,11/25/2012,11/24/2014,CA,Sonoma County,Petaluma,599 Tomales Road Petaluma CA 94952,61,611,Educational Support Services,Educational Services
1724693,Central Payment,"Central Payment Co., LLC",29634.03,0,0,18,0,1646,11/21/2012,11/20/2014,CA,Marin County,San Rafael,2350 Kerner Blvd. San Rafael CA 94901,52,522,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities
1755010,Central Payment,"Central Payment Co., LLC",13560.37,0,0,1,0,13560,11/21/2012,11/20/2014,CA,Marin County,San Rafael,2350 Kerner Blvd. San Rafael CA 94901,52,522,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities
1743526,"Oventi Restaurant, Bakery & Microbrewery/Bar",Oventi Restaurant LLC,3797.03,0,0,5,0,759,11/17/2011,11/18/2014,CA,Napa County,Napa,1990 Trower Ave. Napa CA 94558,72,722,Full-Service Restaurants,Food Services and Drinking Places
1745539,Knightly Construction,"Knightly Construction, Inc.",6325,0,0,10,0,632,12/3/2012,11/18/2014,CA,San Mateo County,Burlingame,1365 Columbus Burlingame CA 94010,23,236,Residential Remodelers,Construction of Buildings
1745730,Gonzales Care  Homes (Noriega St),Gonzales Home,34401.66,28119.2,0,3,9373,11467,12/1/2013,10/31/2014,CA,San Francisco County,San Francisco,2237 Noriega Street San Francisco CA 94122,62,623,Other Residential Care Facilities,Nursing and Residential Care Facilities
1743402,On-site.com,"On Site Manager, Inc.",13340.58,0,0,1,0,13341,11/1/2012,10/30/2014,CA,Santa Clara County,Campbell,"307 Orchard City Drive, suite 110 Campbell CA 95008",53,531,Activities Related to Real Estate,Real Estate
1740243,"City Wide Electronic Systems, Inc.",Universal Protection Security Systems,6256.58,0,0,10,0,626,6/1/2014,10/27/2014,CA,Santa Clara County,Santa Clara,5102 Calle Del Sol Santa Clara CA 95054,23,236,Residential Building Construction,Construction of Buildings
1744086,Sansar Restaurant,"Sansar Restaurant, Inc.",917.6,917.6,0,2,459,459,10/28/2012,10/27/2014,CA,Alameda County,Livermore,2220 1st Street Livermore CA 94550,72,722,Full-Service Restaurants,Food Services and Drinking Places
1743880,Gonzales Care Home (Fleetwood Dr),Gonzales Home,13462.85,5726.6,0,3,1909,4488,12/1/2013,10/23/2014,CA,San Mateo County,San Bruno,3645 Fleetwood Drive San Bruno CA 94066,62,623,Homes for the Elderly,Nursing and Residential Care Facilities
1745728,Gonzales Homes (35th St),Gonzales Home,45427.55,30952,0,3,10317,15143,12/1/2013,10/15/2014,CA,San Francisco County,San Francisco,1855 35th Ave San Francisco CA 94122,62,623,Homes for the Elderly,Nursing and Residential Care Facilities
1742215,Mountain View Health Care Center,"Palmero Enterprises, Inc.",57345.01,0,0,35,0,1638,10/8/2012,10/7/2014,CA,Santa Clara County,Mountain View,2530 Solace Pl Mountain View CA 94040,62,623,Nursing Care Facilities,Nursing and Residential Care Facilities
1742507,Alexander Vineyard Management,Alexander Vineyard Management,0,0,200,0,0,0,10/1/2014,10/7/2014,CA,Sonoma County,Windsor,930 Shiloh Road Windsor CA 95492,11,111,Fruit and Tree Nut Farming,Crop Production
1739039,The Perfume Company,"Guya Enterprises CA, LLC",192.67,0,0,1,0,193,3/3/2014,10/4/2014,CA,San Francisco County,San Francisco,865 Market Street San Francisco CA 94103,44,446,"Cosmetics, Beauty Supplies, and Perfume Stores",Health and Personal Care Stores 
1743485,A. Osegura Company,"A. Oseguera Company, Inc.",0,0,600,0,0,0,4/2/2014,10/3/2014,CA,Monterey County,Salinas,1009 Rogge Road Salinas CA 93915,11,115,Farm Labor Contractors and Crew Leaders,Support Activities for Agriculture and Forestry
1715401,"Strataserv, Inc.","Strataserv, Inc.",2660,0,0,1,0,2660,10/12/2002,10/3/2014,CA,Santa Clara County,San Jose,"2055 Junction Avenue, Suite 208 San Jose CA 95131",54,541,Custom Computer Programming Services,"Professional, Scientific, and Technical Services"
1742214,7-Eleven Store # 35644,Mohinder Kanta Retail Inc.,8530.03,0,2464,8,0,1066,12/27/2012,10/2/2014,CA,Santa Clara County,San Jose,601 Bird Avenue San Jose CA 95125,44,445,Convenience Stores,Food and Beverage Stores 
1742888,Becker II Home,"Becker Home, Inc.",130678.16,2245.59,0,21,107,6223,10/3/2012,10/2/2014,CA,Santa Clara County,San Jose,1756 Swanston Way San Jose CA 95132,62,623,Residential Mental Retardation Facilities,Nursing and Residential Care Facilities
1740313,Gardino Fresco Ristorante,"Zaia Restaurant Group, LLC.",2719.74,0,1496,4,0,680,7/1/2012,9/30/2014,CA,Santa Clara County,Los Gatos,51 N Santa Cruz Ave Los Gatos CA 95030,72,722,Full-Service Restaurants,Food Services and Drinking Places
1741559,Divine Home Care,"Wild Karma, Inc.",4104,0,0,1,0,4104,10/1/2012,9/30/2014,CA,Alameda County,San Leandro,400 Estudillo Ave San Leandro CA 94577,62,621,Home Health Care Services,Ambulatory Health Care Services
1722035,URS Corporation,URS Corporation,15502.41,0,0,9,0,1722,9/30/2013,9/29/2014,CA,San Francisco County,San Francisco,600 Montgomery St San Francisco CA 94111,56,562,Hazardous Waste Treatment and Disposal,Waste Management and Remediation Services
1741449,Grandma and Grandpas,"Grandma and Grandpa's Place, Inc.",6963.54,220.32,0,5,44,1393,5/16/2014,9/27/2014,CA,Contra Costa County,Brentwood,6400 Brentwood Blvd Brentwood CA 94513,62,623,Homes for the Elderly,Nursing and Residential Care Facilities
1728790,"Dynegy Moss Landing, LLC","Dynegy Moss Landing, LLC",56868.34,0,0,1,0,56868,9/15/2012,9/13/2014,CA,Monterey County,Moss Landing,Highway 1 and Dolan Road Moss Landing CA 95039,22,221,"Electric Power Generation, Transmission and Distribution",Utilities 
1739647,Fresh Alliance,"Fresh Allliance, LLC",3667.78,0,0,2,0,1834,5/8/2013,9/12/2014,CA,Monterey County,Carmel,P.O. Box 223543 Carmel CA 93922,42,424,Fresh Fruit and Vegetable Merchant Wholesalers,"Merchant Wholesalers, Nondurable Goods "
1739248,Island Auto Repair,Island Auto Repair,24553.9,0,0,21,0,1169,9/11/2012,9/10/2014,CA,Alameda County,San Leandro,14140 Washington Ave San Leandro CA 94578,81,811,"Automotive Body, Paint, and Interior Repair and Maintenance",Repair and Maintenance
1740111,Swank Farms Produce,"Swank Farms Produce, Inc.",0,0,1075,0,0,0,6/1/2014,9/10/2014,CA,San Benito County,Hollister,600 Acquistapace Rd. Hollister CA 95023,11,111,Vegetable and Melon Farming,Crop Production
1740109,Dominguez Farms,Nazario Dominguez Trujillo,500,0,2000,3,0,167,7/1/2014,9/6/2014,CA,Monterey County,Greenfield,818 Oak Ave. Greenfield CA 93927,11,115,Farm Labor Contractors and Crew Leaders,Support Activities for Agriculture and Forestry
1730182,InterMune Inc.,InterMune Inc.,59085.28,0,0,1,0,59085,5/31/2012,8/29/2014,CA,San Mateo County,Brisbane,3280 Bayshore Blvd Brisbane CA 94005,32,325,Biological Product (except Diagnostic) Manufacturing,Chemical Manufacturing
1736339,ResCare Homecare Services,RSCR California INC,41519.13,0,0,10,0,4152,8/17/2012,8/21/2014,CA,Contra Costa County,Pleasant Hill,1521 Contra Costa Blvd Pleasant Hill CA 94523,62,621,Home Health Care Services,Ambulatory Health Care Services
1732604,Backops,Backops,14165.63,0,7947.5,17,0,833,3/31/2013,8/20/2014,CA,San Francisco County,San Francisco,171 2nd Street- Floor 3 San Francisco CA 94105,54,541,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services","Professional, Scientific, and Technical Services"
1740833,"WALNUT CREEK SENIOR LIVING, LLC","WALNUT CREEK SENIOR LIVING, LLC",33599.99,37,0,13,3,2585,1/1/2013,8/16/2014,CA,Contra Costa County,Walnut Creek,80 CRAGMONT CT Walnut Creek CA 94598,62,623,Other Residential Care Facilities,Nursing and Residential Care Facilities
1737332,Wilson's Leather,AM Retail Group,0,0,6200,0,0,0,8/8/2013,8/7/2014,CA,Alameda County,Livermore,3010 Livermore Outlet Drive Livermore CA 94551,44,448,Family Clothing Stores,Clothing and Clothing Accessories Stores 
1722345,Tricia's Home,"Patricia's Home, Inc.",101791.07,13486.95,0,21,642,4847,8/5/2012,8/4/2014,CA,San Mateo County,San Mateo,824 Patricia Ave. San Mateo CA 94401,62,623,Other Residential Care Facilities,Nursing and Residential Care Facilities
1736215,Garrison Care Home,Garrison Care Home,72431.17,0,0,3,0,24144,8/1/2011,7/31/2014,CA,San Mateo County,South San Francisco,7 Hermosa Lane South San Francisco CA 94080,62,621,Home Health Care Services,Ambulatory Health Care Services
1749380,Tucker Technoligies,"Tucker Technologies, inc.",1188.76,561.88,0,1,562,1189,8/1/2012,7/31/2014,CA,Alameda County,Oakland,"300 Frank H Ogawa Plaza, Suite 235 Oakland CA 94612",51,517,All Other Telecommunications,Telecommunications
1736980,Golden Home,"Golden home extended care, inc",33516.53,7210,0,14,515,2394,8/1/2011,7/31/2014,CA,Marin County,San Rafael,1234 Las Gallinas San Rafael CA 94903,62,621,Home Health Care Services,Ambulatory Health Care Services
1736977,Saint Michael's Extended Care Home,Saint Michael's Extended Care Home,8305.04,0,0,12,0,692,8/1/2011,7/31/2014,CA,Marin County,San Rafael,416 4th Street San Rafael CA 94901,62,623,Community Care Facilities for the Elderly,Nursing and Residential Care Facilities
1731285,"7- Eleven, Inc. (14188C)","7-Eleven, Inc.",6316.5,0,1540,5,0,1263,8/1/2012,7/31/2014,CA,Alameda County,Fremont,122 Gable Drive Fremont CA 94539,44,445,Convenience Stores,Food and Beverage Stores 
1736676,Chicken Now,Chicken Now Livermore LLC,0,0,3100,0,0,0,8/1/2013,7/31/2014,CA,Alameda County,Livermore,3434 Paragon Outlets Drive Livermore CA 94551,72,722,Limited-Service Restaurants,Food Services and Drinking Places
1734549,Norman's Grill,Norman's Grill,1726,0,0,7,0,247,7/31/2011,7/30/2014,CA,Alameda County,Castro Valley,3638 Castro Valley Blvd. Castro Valley CA 94546,72,722,Full-Service Restaurants,Food Services and Drinking Places
1718626,Employment Development Department,Employment Development Department,1484.64,0,0,1,0,1485,8/22/2012,7/22/2014,CA,Alameda County,Oakland,1225 4th Avenue Oakland CA 94606,93,939,Other State Governmental Facilities,State and Local Government
1732653,Domino's Pizza,"Team San Francisco, LLC",29703.71,0,1980,9,0,3300,7/17/2011,7/15/2014,CA,San Francisco County,San Francisco,876 Geary Street San Francisco CA 94109,72,722,Limited-Service Restaurants,Food Services and Drinking Places
1735055,Island Pacific Supermarket,"Island Pacific Supermarkets, Inc.",196.39,196.39,0,7,28,28,7/16/2011,7/15/2014,CA,Alameda County,Union City,4122 Dyer Street Union City CA 94587,44,445,Grocery Stores,Food and Beverage Stores 
