Industry,NAICS3,NAICS Code,Number of Cases,EEs Employed in Violation,Minimum Wage Backwages,Backwages,Minimum Wage Backwages per Employee,Backwages per Employee,Penalty Assessed,Employees in Industry,Avg Weekly Pay,Establishments in Industry
Hospitals,622,62,10,253,157.2,149867.78,16,1737.9,0,106545,982,114
State and Local Government,516,51,1,26,73.62,3178.58,3,122,0,,,
Furniture and Home Furnishings Stores ,442,44,1,2,54.39,54.39,27,27,0,11387,518,1355
State and Local Government,977,97,1,1,0,77.22,0,77,0,,,
Waste Management and Remediation Services,562,56,3,22,0,24171.94,0,1044.67,0,12442,828,420
Warehousing and Storage,493,49,2,2,0,15244.52,0,7622,0,4353,490,291
Clothing and Clothing Accessories Stores ,448,44,8,634,0,1072178.11,0,2201.75,11158,52679,318,4087
Chemical Manufacturing,325,32,2,61,0,111234.87,0,29977,0,8731,657,299
Support Activities for Agriculture and Forestry,115,11,34,756,0,326901.65,0,175.74,1272925,3076,446,306
Animal Production and Aquaculture,112,11,6,182,0,123204.73,0,575.83,48525,,,
Water Transportation,483,48,5,108,0,215574.79,0,3789,0,2128,171,32
Support Activities for Mining,213,21,1,7,0,595.91,0,85,0,212,268,24
Wholesale Electronic Markets and Agents and Brokers ,425,42,1,1,0,121.6,0,122,0,7210,1254,1073
Administration of Human Resource Programs ,923,92,1,1,0,617.59,0,618,0,,,
Administration of Economic Programs ,926,92,2,94,0,188287.39,0,39468.5,0,,,
Building Material and Garden Equipment and Supplies Dealers ,444,44,4,110,0,207687.58,0,2134.25,420.75,29424,558,1747
State and Local Government,939,93,1,1,0,1484.64,0,1485,0,,,
Primary Metal Manufacturing,331,33,2,17,0,16676.85,0,1257,0,1789,356,59
Petroleum and Coal Products Manufacturing,324,32,2,323,0,334428.99,0,1471.5,0,3606,437,42
Other Information Services,519,51,2,2,0,18141.99,0,9071,0,20872,1449,928
Oil and Gas Extraction,211,21,1,15,0,6945.73,0,463,0,28,0,13
Wood Product Manufacturing,321,32,1,8,0,4218.57,0,527,0,3021,476,198
Transportation Equipment Manufacturing,336,33,3,7,0,28128.93,0,2755.67,0,234,190,155
Accommodation,721,72,9,66,0,69736.78,0,1981.78,1320,58293,481,1883
Motion Picture and Sound Recording Industries,512,51,2,25,0,37167.35,0,978,4455,10466,529,694
State and Local Government,966,96,1,1,0,2452.8,0,2453,0,,,
State and Local Government,918,91,1,42,0,193.97,0,5,0,,,
Electronics and Appliance Stores ,443,44,3,4,0,27557.4,0,7351,0,12717,522,1184
Machinery Manufacturing,333,33,4,18,0,21518.52,0,844,7500,10474,791,421
State and Local Government,962,96,2,6,0,22358.65,0,5433.5,0,,,
Gasoline Stations ,447,44,12,255,0,60092.11,0,733.42,0,10393,368,1437
Rental and Leasing Services,532,53,1,19,0,28924.88,0,1522,0,12212,786,1118
Forestry and Logging,113,11,5,52,0,7669.36,0,70.4,32025,470,389,75
Monetary Authorities-Central Bank,521,52,3,26,0,70784.67,0,2633.67,1100,0,0,2
State and Local Government,968,96,3,99,0,20940.75,0,245.67,0,,,
"Executive, Legislative, and Other General Government Support ",921,92,3,22,0,60333.89,0,15507,0,,,
State and Local Government,911,91,1,1,0,5091.23,0,5091,0,,,
