,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE
9766,Washington County,17610,8662,8948,5785,5792,2111,2275,680,745,5,12,5,9,76,115,91,66
9918,Wilcox County,11557,5460,6097,1527,1588,3895,4479,7,8,1,3,2,0,28,19,40,34
10070,Winston County,24401,11961,12440,11593,12085,61,57,105,92,23,44,31,17,148,145,355,288
10222,Aleutians East Borough,3169,2111,1058,557,205,217,17,461,398,797,385,8,11,71,42,312,75
10374,Aleutians West Census Area,5546,3724,1822,1630,664,324,31,462,397,1066,605,89,20,153,105,547,185
10526,Anchorage Municipality,293405,149093,144312,103489,95846,9117,8089,11364,12652,11155,13187,3056,3076,10912,11462,11139,11210
10678,Bethel Census Area,17080,8930,8150,1093,846,35,36,7294,6866,95,75,12,21,401,306,110,98
10830,Bristol Bay Borough,1002,545,457,284,207,0,0,173,160,2,6,0,3,86,81,17,8
10982,Denali Borough,1837,1014,823,924,734,9,1,32,34,8,15,0,1,41,38,22,22
11134,Dillingham Census Area,4856,2548,2308,501,386,9,2,1785,1703,17,19,5,1,231,197,60,45
11286,Fairbanks North Star Borough,98289,51954,46335,41348,35727,2635,2043,3421,3636,1141,1569,219,209,3190,3151,3071,2795
11438,Haines Borough,2501,1267,1234,1063,1034,6,4,128,112,1,13,0,0,69,71,24,23
11590,Hoonah-Angoon Census Area,2147,1158,989,547,464,5,3,488,401,2,10,1,0,115,111,39,41
11742,Juneau City and Borough,31388,16011,15377,11479,10731,194,108,1862,1923,884,1056,122,103,1470,1456,835,777
11894,Kenai Peninsula Borough,55573,29142,26431,24891,22455,201,112,2195,1946,248,413,85,50,1522,1455,824,851
12046,Ketchikan Gateway Borough,13525,6939,6586,4876,4447,61,22,952,991,427,524,16,10,607,592,309,249
12198,Kodiak Island Borough,13651,7250,6401,4298,3629,65,40,927,914,1388,1313,49,45,523,460,544,478
12350,Kusilvak Census Area,7464,3952,3512,126,98,1,1,3731,3340,5,13,0,0,89,60,8,7
12502,Lake and Peninsula Borough,1637,857,780,230,161,5,4,537,526,3,2,3,2,79,85,24,22
12654,Matanuska-Susitna Borough,89761,46467,43294,40050,36853,529,387,2541,2520,428,704,122,115,2797,2715,1667,1717
12806,Nome Census Area,9536,5084,4452,914,688,17,11,3778,3448,49,52,3,6,323,247,70,50
12958,North Slope Borough,9468,5912,3556,2578,627,72,27,2697,2440,240,202,65,40,260,220,169,82
13110,Northwest Arctic Borough,7545,4036,3509,537,323,15,30,3190,2945,22,23,8,4,264,184,36,27
13262,Petersburg Borough,3217,1654,1563,1364,1239,8,7,122,124,44,54,4,2,112,137,65,58
13414,Prince of Wales-Hyder Census Area,6212,3413,2799,1726,1263,15,4,1371,1246,9,14,11,11,281,261,88,57
13566,Sitka City and Borough,8898,4490,4408,3011,2876,25,23,760,787,251,296,15,14,428,412,223,228
13718,Skagway Municipality,965,502,463,462,424,1,0,16,19,1,4,1,0,21,16,8,14
13870,Southeast Fairbanks Census Area,7070,3944,3126,3254,2502,53,24,434,383,20,46,15,12,168,159,134,111
14022,Valdez-Cordova Census Area,9659,5147,4512,3906,3304,36,15,672,653,168,200,29,26,336,314,173,182
14174,Wrangell City and Borough,2370,1246,1124,938,788,1,3,184,195,13,22,0,1,110,115,13,24
14326,Yakutat City and Borough,662,360,302,156,125,3,0,123,115,16,11,5,6,57,45,10,8
14478,Yukon-Koyukuk Census Area,5588,3025,2563,693,550,7,3,2142,1853,1,12,7,0,175,145,42,28
14630,Apache County,71766,35808,35958,9072,8574,135,72,25845,26623,94,131,18,8,644,550,2232,1958
14782,Cochise County,131809,67306,64503,59447,57216,3399,2459,1222,951,1014,1686,243,249,1981,1942,21338,21549
14934,Coconino County,134626,66721,67905,45023,44590,923,866,18051,19476,904,1153,107,147,1713,1673,9174,9055
15086,Gila County,53544,26614,26930,21917,22148,166,109,4003,4130,115,168,27,22,386,353,4905,4742
15238,Graham County,37137,19936,17201,16149,13895,600,154,2709,2751,124,96,43,28,311,277,6453,4877
15390,Greenlee County,8339,4355,3984,4052,3701,54,47,133,126,31,30,6,2,79,78,2050,1958
15542,La Paz County,20446,10503,9943,8397,7720,90,74,1673,1761,54,82,9,6,280,300,2568,2247
15694,Maricopa County,3825597,1892120,1933477,1620733,1653243,104705,101850,48417,51498,66858,74559,5190,4864,46217,47463,569886,562970
15846,Mohave County,200374,100200,100174,93272,92845,1217,836,2588,2773,882,1372,217,219,2024,2129,15105,14617
15998,Navajo County,107715,53944,53771,29071,27584,656,372,22865,24407,268,355,46,50,1038,1003,6330,5363
16150,Pima County,981870,482222,499648,415263,432137,20622,17741,19870,20672,12639,15062,1043,1079,12785,12957,166197,173920
16302,Pinal County,379384,199551,179833,164245,152375,10712,7988,14461,10743,3710,3594,1422,381,5001,4752,58766,49676
16454,Santa Cruz County,47410,22580,24830,21886,24149,137,124,279,240,141,181,14,25,123,111,18461,20801
16606,Yavapai County,211122,103447,107675,97539,101646,833,614,2068,2079,795,1108,131,138,2081,2090,14605,14101
16758,Yuma County,197069,99027,98042,90812,90550,2870,1888,2077,1963,1215,1613,235,231,1818,1797,58186,59664
16910,Arkansas County,19014,9208,9806,6812,7128,2218,2477,22,20,45,58,1,1,110,122,322,202
17062,Ashley County,21831,10599,11232,7768,7991,2623,3046,69,62,17,29,12,4,110,100,588,477
17214,Baxter County,41538,20045,21493,19547,20938,43,27,129,118,57,120,7,11,262,279,353,336
17366,Benton County,223010,109972,113038,99917,103117,1850,1632,2112,2201,3384,3399,399,386,2310,2303,17768,16893
17518,Boone County,36897,18068,18829,17495,18244,56,32,134,134,58,109,12,9,313,301,341,341
17670,Bradley County,11486,5591,5895,3902,4030,1523,1686,81,87,16,25,1,0,68,67,818,686
17822,Calhoun County,5338,2714,2624,2081,1978,584,605,14,6,5,6,1,0,29,29,90,66
17974,Carroll County,27544,13565,13979,12986,13398,80,50,139,142,58,122,44,37,258,230,1873,1660
18126,Chicot County,11793,5794,5999,2638,2548,3073,3361,20,17,28,29,1,3,34,41,301,248
18278,Clark County,22947,10931,12016,8229,8708,2436,2996,64,67,70,71,1,4,131,170,452,473
18430,Clay County,16050,7849,8201,7703,8044,35,23,18,29,13,11,0,1,80,93,131,93
18582,Cleburne County,25999,12782,13217,12470,12881,52,33,72,86,19,36,4,3,165,178,266,260
18734,Cleveland County,8686,4285,4401,3755,3777,496,566,9,13,2,7,0,1,23,37,80,70
18886,Columbia County,24747,11813,12934,7323,7716,4252,4957,56,30,84,98,2,4,96,129,312,241
19038,Conway County,21244,10529,10715,9047,9157,1150,1243,87,83,45,39,2,1,198,192,392,355
19190,Craighead County,96724,47199,49525,39699,41093,5989,6840,225,266,559,542,21,22,706,762,2367,1926
19342,Crawford County,61980,30558,31422,28209,28926,415,394,725,775,443,491,14,17,752,819,1943,1845
19494,Crittenden County,50948,24168,26780,11685,12087,12067,14161,63,89,123,177,7,10,223,256,542,477
19646,Cross County,17832,8602,9230,6613,6958,1850,2120,22,25,36,42,1,2,80,83,135,136
19798,Dallas County,8068,3949,4119,2251,2294,1633,1755,15,19,3,8,1,0,46,43,105,82
19950,Desha County,12964,6076,6888,3159,3332,2816,3464,20,21,27,17,8,8,46,46,303,273
20102,Drew County,18656,9067,9589,6388,6672,2510,2734,20,37,55,51,3,2,91,93,233,230
20254,Faulkner County,114057,56027,58030,48384,49662,5637,6131,341,431,626,698,34,29,1005,1079,2460,2007
20406,Franklin County,18128,8972,9156,8582,8769,80,58,85,99,81,82,15,9,129,139,198,179
20558,Fulton County,12216,5997,6219,5840,6027,22,26,32,45,6,20,1,0,96,101,64,43
20710,Garland County,96128,46663,49465,41142,43809,3839,3884,334,325,287,434,37,20,1024,993,2490,2151
20862,Grant County,17890,8881,9009,8526,8636,194,211,45,32,16,33,4,1,96,96,226,172
21014,Greene County,42188,20707,21481,20157,20923,155,99,101,114,46,72,3,6,245,267,471,425
21166,Hempstead County,22602,10902,11700,7513,7744,3077,3638,60,73,48,52,14,20,190,173,1450,1294
21318,Hot Spring County,33128,16995,16133,14667,13989,1941,1726,80,81,38,67,8,8,261,262,519,423
21470,Howard County,13799,6664,7135,5170,5372,1309,1567,56,59,48,45,7,13,74,79,681,674
21622,Independence County,36806,18049,18757,17138,17836,390,364,125,120,133,165,40,29,223,243,1176,966
21774,Izard County,13684,7045,6639,6729,6468,165,11,47,56,17,25,0,2,87,77,135,77
21926,Jackson County,18049,8967,9082,7238,7357,1533,1507,51,47,27,32,4,12,114,127,261,177
22078,Jefferson County,77323,38026,39297,16701,16156,20481,22269,125,116,299,331,2,11,418,414,688,549
22230,Johnson County,25553,12654,12899,11973,12256,250,196,151,133,73,116,12,15,195,183,1658,1467
22382,Lafayette County,7636,3688,3948,2314,2352,1326,1533,13,16,11,15,0,0,24,32,79,55
22534,Lawrence County,17501,8509,8992,8305,8772,66,77,33,34,8,18,2,2,95,89,88,77
22686,Lee County,10374,5767,4607,2612,1807,3047,2695,28,22,21,21,2,0,57,62,116,58
22838,Lincoln County,14074,8464,5610,5467,4192,2858,1324,32,20,29,9,1,0,77,65,309,149
22990,Little River County,13137,6378,6759,4960,5134,1191,1346,96,111,15,25,2,1,114,142,189,165
23142,Logan County,22315,11171,11144,10481,10542,162,151,128,121,208,153,3,1,189,176,279,230
23294,Lonoke County,68711,33829,34882,30924,31555,1943,2172,198,213,194,368,43,18,527,556,1274,1030
23446,Madison County,15693,7868,7825,7582,7521,20,21,123,109,39,47,3,7,101,120,414,348
23598,Marion County,16660,8281,8379,8068,8137,14,21,53,64,7,31,4,4,135,122,137,162
23750,Miller County,43540,21452,22088,15795,15756,5089,5707,152,160,102,106,7,14,307,345,579,474
23902,Mississippi County,46389,22477,23912,14568,14945,7424,8468,102,74,123,133,4,6,256,286,905,769
24054,Monroe County,8123,3890,4233,2239,2393,1565,1757,17,19,21,17,0,0,48,47,77,62
24206,Montgomery County,9491,4734,4757,4545,4558,20,19,48,45,22,33,1,1,98,101,177,185
24358,Nevada County,8974,4400,4574,2984,3065,1317,1434,23,16,10,15,1,0,65,44,110,108
24510,Newton County,8329,4199,4130,4064,3956,5,4,38,55,5,20,1,0,86,95,61,82
24662,Ouachita County,26076,12364,13712,7332,7694,4746,5716,49,42,45,52,4,5,188,203,235,185
24814,Perry County,10455,5190,5265,4968,5045,102,102,35,32,8,10,1,1,76,75,146,115
24966,Phillips County,21668,10075,11593,3724,3944,6189,7507,32,24,35,29,0,1,95,88,152,135
25118,Pike County,11271,5589,5682,5230,5352,183,165,56,43,33,44,0,1,87,77,386,338
25270,Poinsett County,24524,11912,12612,10849,11466,850,948,33,27,14,29,5,4,161,138,308,238
25422,Polk County,20668,10171,10497,9661,10024,44,32,200,176,43,56,5,1,218,208,623,563
25574,Pope County,62108,30810,31298,28535,29252,1019,812,287,305,308,331,23,23,638,575,2224,2023
25726,Prairie County,8715,4319,4396,3759,3782,500,561,13,14,2,4,3,0,42,35,43,35
25878,Pulaski County,383628,184263,199365,113367,117607,62543,72863,1154,1003,3528,4206,220,151,3451,3535,12447,9698
26030,Randolph County,17966,8818,9148,8568,8911,78,64,54,41,8,25,1,4,109,103,168,118
26182,St. Francis County,28182,15366,12816,7271,5552,7670,7028,142,43,87,53,9,2,187,138,977,171
26334,Saline County,107675,53177,54498,49208,50286,2543,2638,336,311,433,534,15,21,642,708,2239,1878
26486,Scott County,11270,5680,5590,5229,5110,28,26,105,120,205,207,1,2,112,125,432,374
26638,Searcy County,8180,4072,4108,3929,3957,7,5,48,48,3,8,2,0,83,90,68,60
26790,Sebastian County,125784,61652,64132,51611,53665,4064,4212,1443,1376,2555,2725,116,118,1863,2036,8078,7512
26942,Sevier County,17141,8505,8636,7674,7690,359,410,268,299,30,42,6,8,168,187,2786,2497
27094,Sharp County,17279,8532,8747,8223,8461,57,43,96,74,16,34,1,1,139,134,135,158
27246,Stone County,12393,6129,6264,5946,6115,7,4,52,37,21,24,3,1,100,83,80,82
27398,Union County,41556,20207,21349,13310,13597,6469,7277,85,86,97,130,9,7,237,252,806,655
27550,Van Buren County,17307,8637,8670,8355,8377,37,35,69,61,19,39,2,0,155,158,263,213
27702,Washington County,204026,101956,102070,90042,90695,3431,2955,1476,1444,2351,2353,2313,2089,2343,2534,16479,15221
27854,White County,77333,37934,39399,35226,36671,1614,1515,232,258,215,237,17,24,630,694,1613,1285
28006,Woodruff County,7240,3437,3803,2456,2648,919,1077,10,9,9,6,1,4,42,59,48,39
28158,Yell County,22155,11054,11101,10475,10550,205,175,86,85,150,166,9,6,129,119,2224,2011
28310,Alameda County,1513754,742149,771605,400945,399061,93299,105556,9071,8702,194777,211870,7215,7591,36842,38825,173584,167085
28462,Alpine County,1159,599,560,460,419,0,0,118,127,1,6,0,0,20,8,48,32
28614,Amador County,37873,20560,17313,18284,16097,902,70,483,324,231,228,55,39,605,555,3103,1615
28766,Butte County,219977,108863,111114,94905,97472,2070,1651,2596,2593,4702,4691,298,277,4292,4430,16071,15233
28918,Calaveras County,45464,22746,22718,21010,21063,261,142,408,406,277,346,40,39,750,722,2482,2230
29070,Colusa County,21446,11035,10411,10181,9576,132,105,288,299,159,177,58,58,217,196,6304,5537
29222,Contra Costa County,1052921,513382,539539,358929,367478,47589,54971,5225,5088,74432,83646,2823,3088,24384,25268,129555,127424
29374,Del Norte County,28566,15869,12697,12442,10306,1028,42,1242,1223,507,496,21,18,629,612,3532,1579
29526,El Dorado County,181148,90603,90545,82473,81905,863,649,1245,1220,2944,3598,170,190,2908,2983,11116,10837
29678,Fresno County,932462,465530,466932,362384,362426,27813,27712,14112,13953,47411,48466,1154,1174,12656,13201,239108,230806
29830,Glenn County,28110,14202,13908,12821,12565,173,123,434,412,409,384,19,23,346,401,5553,5039
29982,Humboldt County,135026,67807,67219,57727,57102,1015,646,4070,4166,1485,1694,202,192,3308,3419,6905,6480
30134,Imperial County,174750,89656,85094,78960,77441,4866,1684,2173,2368,2017,1983,157,150,1483,1468,69878,70899
30286,Inyo County,18513,9337,9176,7758,7529,89,52,1108,1164,117,142,16,8,249,281,1842,1764
30438,Kern County,841682,434001,407681,360848,338691,29469,24318,11523,11008,19092,20428,1144,1051,11925,12185,217820,197219
30590,Kings County,152367,85694,66673,68762,55244,8446,3430,2371,2020,3073,3298,218,227,2824,2454,43408,34433
30742,Lake County,64744,32473,32271,28667,28553,743,571,1297,1312,357,467,71,70,1338,1298,5814,5352
30894,Lassen County,34839,22413,12426,17602,11008,2916,137,905,514,277,161,109,79,604,527,4831,1322
31046,Los Angeles County,9826009,4842275,4983734,3531941,3528349,432298,487586,74677,71259,655052,742008,18075,18338,130232,136194,2346526,2350009
31198,Madera County,151125,72831,78294,63768,66674,2127,4393,3415,3480,1592,1769,169,179,1760,1799,40903,40410
31350,Marin County,252903,124359,128544,107227,111483,4917,2636,1672,1183,6027,8364,300,347,4216,4531,21019,18197
31502,Mariposa County,18260,9282,8978,8440,8195,97,48,313,266,99,130,18,10,315,329,879,791
31654,Mendocino County,87811,43937,43874,38414,38249,532,268,2683,2691,605,983,95,95,1608,1588,10426,9203
31806,Merced County,256832,129204,127628,106094,104970,5814,5416,3114,3020,10185,10223,495,401,3502,3598,72124,69229
31958,Modoc County,9697,4880,4817,4376,4344,72,17,241,246,41,42,10,12,140,156,703,655
32110,Mono County,14246,7578,6668,7105,6191,39,21,174,187,81,125,6,7,173,137,2008,1777
32262,Monterey County,416413,214237,202176,176808,166844,9382,5844,5940,5326,13180,15337,1311,1212,7616,7613,121151,109964
32414,Napa County,136810,68301,68509,58939,58912,1636,1323,914,844,4572,5176,252,267,1988,1987,23159,21055
32566,Nevada County,98777,48839,49938,46033,46950,256,173,625,603,515,706,63,59,1347,1447,4404,4083
32718,Orange County,3017866,1492239,1525627,1130219,1139484,30798,28713,16539,16072,263372,289729,5848,5665,45463,45964,512461,504210
32870,Placer County,350234,171030,179204,149866,156349,2803,2340,1878,1940,9794,11616,442,439,6247,6520,22551,22563
33022,Plumas County,19918,9949,9969,9094,9165,117,75,316,307,59,88,14,4,349,330,842,766
33174,Riverside County,2202286,1095610,1106676,892799,895000,76820,76833,20275,20146,66791,74903,4608,4604,34317,35190,504460,499503
33326,Sacramento County,1422010,696279,725731,460371,475799,76406,79635,10984,11056,101988,110109,7796,8261,38734,40871,155426,152165
33478,San Benito County,55557,27797,27760,24768,24632,349,300,838,888,820,963,100,77,922,900,15900,15525
33630,San Bernardino County,2041642,1014793,1026849,795613,794320,95596,101407,20702,20414,66065,72832,4597,4519,32220,33357,503655,503457
33782,San Diego County,3104386,1557967,1546419,1208835,1186398,91272,81611,21254,20159,165072,186895,9377,9094,62157,62262,493087,503452
33934,San Francisco County,805813,408787,397026,234319,205315,26311,24943,4003,2965,126288,146133,1920,1868,15946,15802,64899,57222
34086,San Joaquin County,687442,342242,345200,236583,235961,28018,28687,6978,6607,51844,54767,2460,2357,16359,16821,136556,131261
34238,San Luis Obispo County,269905,137954,131951,122212,119635,4798,1373,1860,1758,4654,4773,268,247,4162,4165,29774,26372
34390,San Mateo County,719973,353836,366137,232531,233588,11495,11213,3386,3006,86186,97618,5522,5908,14716,14804,92727,90354
34542,Santa Barbara County,424379,212894,211485,184190,182972,5639,4362,4874,4498,10733,11985,611,448,6847,7220,94168,88261
34694,Santa Clara County,1786844,896257,890587,532003,514910,26700,25115,12727,12224,286130,299939,4311,4440,34386,33959,244772,235725
34846,Santa Cruz County,263266,131272,131994,116190,116389,1990,1562,2323,2181,5698,6658,232,230,4839,4974,42968,41623
34998,Shasta County,177317,87165,90152,77641,80617,924,691,2739,2757,2208,2366,165,145,3488,3576,7560,7405
35150,Sierra County,3221,1636,1585,1559,1524,5,1,28,22,3,9,2,1,39,28,148,126
35302,Siskiyou County,44940,22441,22499,19757,19792,345,256,994,980,261,300,65,47,1019,1124,2404,2258
35454,Solano County,414062,206475,207587,127104,124240,32166,31296,2612,2390,29286,33922,2058,2104,13249,13635,51315,48542
35606,Sonoma County,484791,238251,246540,209864,216908,4921,3885,5359,5252,8840,10617,812,992,8455,8886,63236,57783
35758,Stanislaus County,515334,254910,260424,215963,220800,8604,8259,4882,4710,13922,14752,2148,2180,9391,9723,109712,106855
35910,Sutter County,94802,47031,47771,35528,36218,1130,1089,1049,1098,7221,7284,178,196,1925,1886,14128,13261
36062,Tehama County,63593,31660,31933,28948,29133,291,183,1009,1080,337,415,50,42,1025,1080,7229,6765
36214,Trinity County,13764,7085,6679,6295,5934,48,13,375,335,39,62,11,7,317,328,496,472
36366,Tulare County,443081,221870,221211,196855,196001,4895,4647,6132,6079,8533,8788,482,491,4973,5205,137460,131716
36518,Tuolumne County,55185,29113,26072,26238,24135,1087,112,636,555,269,350,41,45,842,875,3693,2246
36670,Ventura County,825298,409895,415403,351676,353788,9471,8553,7673,7187,27172,31662,1113,1137,12790,13076,169040,164225
36822,Yolo County,201129,98022,103107,75371,78810,2972,2826,1814,1890,12788,14273,589,619,4488,4689,30696,30507
36974,Yuba County,72357,36460,35897,29097,28563,1449,1260,1078,1105,2566,2657,169,174,2101,2138,9249,8937
37126,Adams County,443680,223317,220363,195974,193467,8154,7037,4772,4636,8142,8807,446,449,5829,5967,86387,82474
37278,Alamosa County,15926,7973,7953,7068,7094,161,97,413,402,97,121,12,24,222,215,3622,3644
37430,Arapahoe County,574727,281818,292909,224028,231729,30319,30818,3215,3185,13848,16355,688,699,9720,10123,53537,52428
37582,Archuleta County,12056,6089,5967,5740,5582,24,12,164,176,54,60,2,5,105,132,1094,1049
37734,Baca County,3790,1880,1910,1804,1832,12,12,31,28,1,5,0,0,32,33,186,161
37886,Bent County,6509,4279,2230,3559,2093,496,8,127,68,48,19,3,2,46,40,1340,642
38038,Boulder County,295986,148540,147446,136054,134887,1668,1243,1237,1211,6018,6525,140,98,3423,3482,19912,19601
38190,Broomfield County,56271,27938,28333,25043,25299,351,285,237,187,1653,1856,20,27,634,679,3136,3167
38342,Chaffee County,17803,9448,8355,8886,8072,266,14,126,99,56,62,8,6,106,102,1038,640
38494,Cheyenne County,1831,908,923,883,900,5,2,10,5,4,7,1,0,5,9,90,86
38646,Clear Creek County,9083,4729,4354,4562,4192,42,18,41,42,17,34,3,0,64,68,230,207
38798,Conejos County,8292,4113,4179,3857,3913,25,21,134,142,20,19,5,8,72,76,2317,2314
38950,Costilla County,3527,1825,1702,1626,1545,29,19,107,84,23,16,6,4,34,34,1219,1106
39102,Crowley County,5853,4224,1629,3445,1530,553,7,135,43,51,11,0,0,40,38,1329,371
39254,Custer County,4275,2211,2064,2116,1998,36,8,19,12,4,12,0,0,36,34,132,73
39406,Delta County,30878,15553,15325,14832,14744,143,35,220,176,76,102,10,12,272,256,2317,2043
39558,Denver County,603300,301723,301577,244450,241559,32140,32574,6261,6296,9952,11573,446,394,8474,9181,97714,93879
