,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE
6042,Escambia County,37888,19255,18633,12104,12137,6331,5591,562,595,55,57,5,5,198,248,193,218
6270,Etowah County,102657,49225,53432,41501,44271,6841,8267,162,183,261,232,29,18,431,461,1370,1063
6498,Fayette County,17998,8726,9272,7651,7989,1007,1178,21,18,6,35,0,2,41,50,91,85
6726,Franklin County,30533,15101,15432,14266,14529,615,660,56,57,32,39,26,29,106,118,1971,1178
6954,Geneva County,25458,12421,13037,10927,11330,1279,1491,103,95,10,24,5,2,97,95,319,221
7182,Greene County,9534,4462,5072,945,948,3488,4098,7,5,6,7,0,0,16,14,29,32
7410,Hale County,17876,9041,8835,3749,3466,5226,5283,18,14,11,17,1,3,36,52,97,88
7638,Henry County,16432,7836,8596,5401,5644,2359,2865,19,16,4,7,3,1,50,63,179,165
7866,Houston County,92374,43945,48429,32368,34768,10712,12655,170,173,286,376,8,7,401,450,796,757
8094,Jackson County,53217,25916,27301,23884,25132,978,1037,461,485,64,75,7,4,522,568,438,373
8322,Jefferson County,660016,312104,347912,183572,196242,121235,144220,894,882,3778,3842,160,175,2465,2551,9043,6637
8550,Lamar County,14828,7183,7645,6360,6649,775,932,10,13,2,7,0,0,36,44,156,103
8778,Lauderdale County,87203,41602,45601,37073,40192,3911,4753,104,131,166,181,11,5,337,339,571,551
9006,Lawrence County,34204,16773,17431,13339,13638,1981,2280,879,901,26,33,2,4,546,575,242,238
9234,Lee County,121698,60033,61665,45106,44675,13088,15152,189,154,1127,1117,16,10,507,557,1058,973
9462,Limestone County,68407,34642,33765,29106,29090,4937,4060,170,166,125,143,13,7,291,299,1305,949
9690,Lowndes County,13033,6105,6928,1780,1767,4281,5101,9,7,3,13,0,3,32,37,59,41
9918,Macon County,23041,10641,12400,1842,1736,8603,10494,20,20,106,50,2,2,68,98,98,112
10146,Madison County,294814,143946,150868,104784,107052,32639,36690,1081,1080,2897,3412,85,82,2460,2552,3622,3173
10374,Marengo County,21649,10199,11450,5110,5211,5009,6140,11,8,18,24,1,2,50,65,190,153
10602,Marion County,29712,14673,15039,13826,14389,647,466,56,44,31,33,7,4,106,103,239,209
10830,Marshall County,84161,41111,43050,39602,41459,709,717,232,224,118,209,58,26,392,415,4011,2962
11058,Mobile County,397521,189933,207588,121468,127710,61699,73330,1328,1317,3531,3103,56,93,1851,2035,2862,2873
11286,Monroe County,23351,11154,12197,6502,6886,4416,5041,116,126,33,43,0,3,87,98,95,105
11514,Montgomery County,222085,105676,116409,50551,53122,52634,60619,341,262,1129,1377,31,57,990,972,1807,1608
11742,Morgan County,112210,55126,57084,47533,48795,6179,6888,431,366,350,359,45,22,588,654,2945,2248
11970,Perry County,11078,5064,6014,1640,1758,3377,4217,4,6,4,0,2,1,37,32,57,57
12198,Pickens County,20096,9427,10669,5517,5815,3819,4751,13,13,9,14,1,4,68,72,87,80
12426,Pike County,29727,14139,15588,8763,9236,4957,5971,110,98,118,76,2,3,189,204,230,210
12654,Randolph County,22394,10829,11565,8361,8844,2342,2592,22,28,35,34,0,1,69,66,165,167
12882,Russell County,48980,23190,25790,13419,14161,9316,11087,83,107,108,158,23,15,241,262,535,496
13110,St. Clair County,69966,35329,34637,31501,31503,3330,2619,118,131,68,97,14,5,298,282,483,358
13338,Shelby County,165723,81493,84230,72784,74658,6838,7655,241,278,1049,1075,12,13,569,551,2806,2002
13566,Sumter County,13869,6363,7506,1794,1876,4528,5563,4,14,5,10,0,2,32,41,90,86
13794,Talladega County,79746,39066,40680,26261,27304,12303,12844,101,88,106,139,9,14,286,291,591,320
14022,Tallapoosa County,40605,19444,21161,14388,15233,4865,5680,50,65,30,57,0,3,111,123,199,169
14250,Tuscaloosa County,169051,81627,87424,56825,57846,23015,27745,179,224,961,889,48,18,599,702,1456,1198
14478,Walker County,69153,33379,35774,30844,32974,2098,2371,120,90,69,88,6,10,242,241,463,382
14706,Washington County,17579,8608,8971,5703,5753,2196,2428,625,686,6,9,2,3,76,92,91,82
14934,Wilcox County,12721,5845,6876,1709,1847,4104,4992,9,9,7,9,2,0,14,19,48,76
15162,Winston County,24307,11940,12367,11673,12092,102,99,61,59,13,23,2,2,89,92,327,157
114,Aleutians East Borough,2637,1736,901,617,231,42,7,434,361,594,277,6,2,43,23,307,73
342,Aleutians West Census Area,5464,3575,1889,1736,804,142,37,588,459,981,528,27,7,101,54,493,196
570,Anchorage Municipality,274852,139627,135225,104291,97193,9325,8804,9989,11518,7970,9534,1544,1571,6508,6605,10389,9812
798,Bethel Census Area,16834,8940,7894,1322,983,69,53,7082,6504,109,101,9,5,349,248,169,126
1026,Bristol Bay Borough,1093,600,493,320,243,4,3,258,222,1,4,1,5,16,16,8,4
1254,Denali Borough,1896,1085,811,945,694,28,10,51,42,15,19,3,5,43,41,69,57
1482,Dillingham Census Area,4921,2561,2360,574,510,14,5,1799,1688,14,18,1,2,159,137,80,57
1710,Fairbanks North Star Borough,92301,48560,43741,39359,34002,3152,2787,3086,3600,963,1328,133,114,1867,1910,2730,2396
1938,Haines Borough,2243,1135,1108,952,895,3,3,127,137,9,8,1,1,43,64,7,26
2166,Hoonah-Angoon Census Area,2294,1231,1063,593,462,5,0,553,526,2,6,2,1,76,68,40,51
2394,Juneau City and Borough,30978,15678,15300,11821,11324,184,131,1834,1965,768,833,76,49,995,998,692,621
2622,Kenai Peninsula Borough,51321,26779,24542,23266,21326,205,98,2083,1863,198,356,51,42,976,857,694,707
2850,Ketchikan Gateway Borough,13122,6722,6400,4992,4611,58,35,1012,1000,296,378,10,12,354,364,223,228
3078,Kodiak Island Borough,13178,7012,6166,4376,3768,109,67,972,925,1199,1080,66,57,290,269,533,417
3306,Lake and Peninsula Borough,1576,823,753,178,148,1,0,572,541,3,5,4,3,65,56,13,13
3534,Matanuska-Susitna Borough,71205,36946,34259,32763,29949,432,325,2033,2070,215,384,58,45,1445,1486,1097,1093
3762,Nome Census Area,9397,5030,4367,1039,805,31,19,3714,3305,36,50,1,1,209,187,90,81
3990,North Slope Borough,6942,3683,3259,642,467,49,20,2484,2298,238,239,39,26,231,209,163,161
4218,Northwest Arctic Borough,7363,3901,3462,597,406,16,10,3108,2883,33,35,2,2,145,126,140,183
4446,Petersburg Census Area,4051,2097,1954,1534,1415,8,4,364,346,43,54,3,3,145,132,65,78
4674,Prince of Wales-Hyder Census Area,5665,3115,2550,1746,1292,7,4,1141,1036,13,11,1,2,207,205,71,72
4902,Sitka City and Borough,8850,4507,4343,3161,2868,18,17,821,855,175,240,24,27,308,336,190,186
5130,Skagway Municipality,909,478,431,439,397,0,0,18,22,2,3,2,0,17,9,12,12
5358,Southeast Fairbanks Census Area,5970,3079,2891,2510,2296,58,50,370,380,7,41,4,6,130,118,87,94
5586,Valdez-Cordova Census Area,9895,5289,4606,4031,3374,22,16,719,729,229,206,10,18,278,263,178,163
5814,Wade Hampton Census Area,7446,3865,3581,258,202,7,6,3502,3276,3,5,1,1,94,91,56,43
6042,Wrangell City and Borough,2178,1130,1048,841,726,3,0,159,196,8,12,2,1,117,113,11,16
6270,Yakutat City and Borough,711,425,286,233,109,1,0,149,135,5,5,1,5,36,32,5,1
6498,Yukon-Koyukuk Census Area,6277,3377,2900,916,737,5,1,2300,2046,8,17,3,0,145,99,63,52
114,Apache County,67943,33487,34456,7837,7745,315,277,24821,25890,100,140,37,36,377,368,1931,1766
342,Cochise County,123235,61231,62004,54868,55407,3221,2699,875,720,678,1517,181,171,1408,1490,18820,19763
570,Coconino County,123349,61598,61751,41446,40576,800,771,17590,18535,601,713,82,88,1079,1068,7549,6993
798,Gila County,50848,24890,25958,20793,21737,170,142,3516,3631,119,167,13,21,279,260,4205,4287
1026,Graham County,32441,17122,15319,13656,12362,560,154,2604,2554,124,89,15,18,163,142,4920,4007
1254,Greenlee County,7307,3836,3471,3649,3303,32,31,97,68,9,14,6,3,43,52,1692,1601
1482,La Paz County,19696,10012,9684,8424,7992,118,85,1261,1376,36,49,13,10,160,172,2423,2188
1710,Maricopa County,3502635,1760287,1742348,1570175,1548923,78019,75066,36956,38802,43480,48126,3859,3418,27798,28013,522354,465415
1938,Mohave County,178313,88027,90286,82894,84757,914,845,2067,2155,737,1054,108,118,1307,1357,11230,10843
2166,Navajo County,105020,52020,53000,26291,25779,783,497,24028,25787,176,249,39,44,703,644,5055,4612
2394,Pima County,924205,452060,472145,400317,419059,16731,15709,16029,16698,10346,11733,760,726,7877,8220,143679,147116
2622,Pinal County,220724,116781,103943,101235,90272,4364,2830,8431,8443,1044,916,176,94,1531,1388,37265,29123
2850,Santa Cruz County,40177,19068,21109,18532,20548,114,114,186,171,120,150,24,24,92,102,15061,17190
3078,Yavapai County,189532,92852,96680,88616,92314,667,580,1537,1686,545,692,88,80,1399,1328,11289,10122
3306,Yuma County,174000,86726,87274,80420,81184,2703,2107,1608,1599,787,1158,164,163,1044,1063,46271,47474
114,Arkansas County,19863,9486,10377,7153,7663,2197,2575,18,27,43,35,0,1,75,76,134,85
342,Ashley County,23171,11234,11937,8131,8342,2973,3444,25,31,28,30,4,7,73,83,480,398
570,Baxter County,39546,19047,20499,18628,20023,88,82,101,113,37,96,5,4,188,181,222,237
798,Benton County,183211,90868,92343,85081,86606,1153,1060,1551,1703,1524,1511,140,100,1419,1363,11376,9962
1026,Boone County,34841,16863,17978,16436,17514,102,95,121,138,50,74,4,4,150,153,217,220
1254,Bradley County,12268,6098,6170,4376,4243,1662,1866,16,17,10,8,1,0,33,36,863,381
1482,Calhoun County,5484,2630,2854,2018,2093,581,721,6,8,2,0,0,0,23,32,46,71
1710,Carroll County,26370,13081,13289,12706,12871,60,36,113,126,38,78,11,11,153,167,1878,1458
1938,Chicot County,12857,6271,6586,2918,2796,3260,3687,9,10,34,26,2,1,48,66,286,186
2166,Clark County,23237,11296,11941,8609,8761,2398,2870,54,74,94,75,6,8,135,153,454,343
2394,Clay County,16588,8043,8545,7857,8360,37,34,62,63,24,10,0,0,63,78,103,103
2622,Cleburne County,24868,12097,12771,11827,12481,101,92,51,63,13,22,3,3,102,110,213,164
2850,Cleveland County,8652,4243,4409,3662,3692,526,647,10,19,1,15,1,2,43,34,112,57
3078,Columbia County,24791,11882,12909,7551,7833,4147,4909,34,37,51,41,4,3,95,86,231,132
3306,Conway County,20351,9923,10428,8540,8865,1183,1360,50,62,28,27,5,3,117,111,266,230
3534,Craighead County,86296,41792,44504,37134,39199,3793,4413,147,158,275,288,9,11,434,435,1393,1175
3762,Crawford County,56149,27855,28294,26030,26447,344,310,568,561,372,370,12,6,529,600,1295,1208
3990,Crittenden County,51264,24462,26802,12658,12952,11430,13435,73,71,134,162,5,6,162,176,517,408
4218,Cross County,19046,9245,9801,7020,7236,2095,2431,27,27,31,37,0,1,72,69,118,112
4446,Dallas County,8637,4179,4458,2446,2535,1686,1865,8,15,14,15,0,0,25,28,121,82
4674,Desha County,14377,6743,7634,3621,3807,3016,3711,24,31,23,30,1,3,58,52,294,248
4902,Drew County,18693,9133,9560,6540,6746,2433,2676,23,25,44,43,0,3,93,67,248,229
5130,Faulkner County,95710,46691,49019,41327,42903,4173,4940,251,238,374,367,17,21,549,550,1272,988
5358,Franklin County,17879,8845,9034,8505,8734,118,71,86,83,35,35,6,5,95,106,211,171
5586,Fulton County,11760,5760,6000,5623,5840,30,25,34,49,8,17,0,0,65,69,55,56
5814,Garland County,92028,44809,47219,39976,42173,3635,3820,298,274,215,313,13,17,672,622,1697,1286
6042,Grant County,17041,8441,8600,8041,8159,296,311,38,37,6,16,3,2,57,75,141,126
6270,Greene County,38668,18921,19747,18413,19262,115,119,92,78,29,42,5,2,267,244,290,266
6498,Hempstead County,23103,11278,11825,7850,7905,3178,3679,58,54,32,30,5,3,155,154,1516,1128
6726,Hot Spring County,30595,15056,15539,13243,13599,1507,1636,75,78,26,42,7,6,198,178,277,271
6954,Howard County,14254,6980,7274,5376,5497,1463,1652,37,34,36,39,1,1,67,51,619,511
7182,Independence County,34269,16831,17438,16004,16545,405,387,81,92,131,181,6,9,204,224,425,344
7410,Izard County,13186,6744,6442,6417,6286,199,30,44,48,4,12,2,1,78,65,70,82
7638,Jackson County,17575,8452,9123,6566,7369,1759,1630,35,32,16,20,1,0,75,72,151,133
7866,Jefferson County,81747,40124,41623,19333,19073,19955,21676,141,118,357,412,19,14,319,330,555,527
8094,Johnson County,23711,11800,11911,11345,11394,193,194,83,70,58,53,0,2,121,198,1171,1001
8322,Lafayette County,8065,3910,4155,2462,2540,1401,1556,18,15,7,12,1,0,21,32,75,44
8550,Lawrence County,17280,8387,8893,8172,8677,73,60,51,51,3,12,1,1,87,92,94,73
8778,Lee County,11420,6108,5312,2746,2077,3307,3174,13,11,18,20,1,2,23,28,193,103
9006,Lincoln County,14137,8550,5587,5300,3969,3159,1531,31,29,6,5,0,1,54,52,163,100
9234,Little River County,13047,6355,6692,4853,4984,1290,1474,98,110,8,18,3,1,103,105,138,124
9462,Logan County,22612,11219,11393,10774,10931,146,140,77,91,69,75,4,1,149,155,221,197
9690,Lonoke County,58040,28633,29407,26204,26623,1888,2138,140,155,86,187,12,11,303,293,695,557
9918,Madison County,14545,7255,7290,7028,7067,39,37,97,94,9,5,8,5,74,82,351,224
10146,Marion County,16177,8017,8160,7785,7949,39,38,75,48,5,27,7,2,106,96,94,84
10374,Miller County,41861,20393,21468,15348,15591,4571,5354,141,140,89,108,3,5,241,270,416,339
10602,Mississippi County,47603,22823,24780,15158,15864,7205,8436,91,74,96,117,8,8,265,281,630,614
10830,Monroe County,9218,4309,4909,2666,2868,1563,1953,9,18,8,9,3,1,60,60,92,65
11058,Montgomery County,9102,4474,4628,4317,4476,24,19,62,46,12,27,1,0,58,60,158,157
11286,Nevada County,9592,4663,4929,3135,3273,1454,1608,26,17,4,4,0,0,44,27,118,109
11514,Newton County,8437,4290,4147,4199,4048,12,6,27,23,2,12,1,0,49,58,57,61
11742,Ouachita County,26875,12747,14128,7673,8201,4882,5688,38,43,33,55,4,4,117,137,156,145
11970,Perry County,10281,5120,5161,4895,4915,119,121,46,56,5,10,2,0,53,59,83,66
12198,Phillips County,23618,10830,12788,4288,4634,6391,7943,23,33,50,69,0,3,78,106,185,213
12426,Pike County,10946,5361,5585,5072,5229,202,223,40,42,4,21,2,0,41,70,274,246
12654,Poinsett County,25071,12226,12845,11198,11708,886,970,36,32,15,25,1,4,90,106,253,238
12882,Polk County,19901,9775,10126,9374,9725,48,42,175,165,10,34,5,8,163,152,389,411
13110,Pope County,56363,27730,28633,26102,27054,871,783,189,197,206,243,8,6,354,350,893,858
13338,Prairie County,9038,4447,4591,3772,3837,618,690,16,21,6,11,0,0,35,32,54,41
13566,Pulaski County,367737,175995,191742,112518,119168,57183,65622,1048,1013,2599,3187,152,142,2495,2610,6883,5530
13794,Randolph County,18197,8935,9262,8654,9015,121,87,56,47,6,18,2,1,96,94,146,100
14022,St. Francis County,27930,14435,13495,7387,6216,6810,7082,53,25,91,80,2,3,92,89,1274,187
14250,Saline County,88424,43950,44474,41612,42315,1419,1192,235,225,248,306,18,12,418,424,828,691
14478,Scott County,10884,5462,5422,5215,5174,41,36,75,86,62,58,1,0,68,68,448,306
14706,Searcy County,7933,3919,4014,3814,3918,9,6,32,33,6,7,1,0,57,50,43,48
14934,Sebastian County,117425,57417,60008,49403,51333,3638,3908,959,1028,2086,2254,63,41,1268,1444,5887,4740
15162,Sevier County,16064,7988,8076,7348,7380,360,401,163,147,10,19,3,6,104,123,2189,1911
15390,Sharp County,17478,8418,9060,8145,8795,86,74,59,62,15,13,2,1,111,115,106,102
15618,Stone County,11589,5694,5895,5512,5718,36,22,45,49,1,9,2,2,98,95,81,64
15846,Union County,44151,21142,23009,13950,14969,6799,7658,55,58,153,135,1,3,184,186,380,315
16074,Van Buren County,16230,7983,8247,7726,7986,58,55,70,58,18,34,4,5,107,109,142,119
16302,Washington County,177043,88660,88383,80569,80720,2705,2443,1302,1309,1774,1671,693,594,1617,1646,10625,8820
16530,White County,70457,34456,36001,32404,33768,1343,1464,152,162,97,164,14,12,446,431,979,762
16758,Woodruff County,8104,3831,4273,2708,2890,1045,1332,12,8,4,3,2,7,60,33,57,27
16986,Yell County,21200,10583,10617,10123,10112,170,187,75,63,101,116,8,10,106,129,2010,1618
114,Alameda County,1441781,710351,731430,416333,410487,94081,109448,5308,5239,164945,174652,5520,5570,24164,26034,153752,140456
342,Alpine County,1182,618,564,463,406,5,2,112,133,3,1,0,1,35,21,63,52
570,Amador County,37213,20341,16872,17923,15887,1407,85,376,300,273,212,23,22,339,366,2417,1248
798,Butte County,213173,104677,108496,93183,97114,1855,1576,2239,2191,4269,4359,212,191,2919,3065,12999,12231
1026,Calaveras County,44852,22295,22557,20851,21019,292,210,367,397,253,295,18,24,514,612,1957,1890
1254,Colusa County,20219,10269,9950,9580,9253,92,76,274,258,134,153,46,56,143,154,5261,4598
1482,Contra Costa County,992747,487157,505590,360674,366849,44396,50452,3900,3681,59625,65417,2281,2437,16281,16754,105538,99055
1710,Del Norte County,28085,15380,12705,12479,10792,1145,84,928,954,331,367,10,14,487,494,2880,1386
1938,El Dorado County,170486,85332,85154,79249,78902,888,737,903,867,2266,2477,128,121,1898,2050,9206,8788
2166,Fresno County,857162,430767,426395,351444,345753,24752,24712,8174,8339,37461,38217,871,830,8065,8544,205956,189987
2394,Glenn County,27193,13714,13479,12577,12326,142,100,289,326,446,462,21,21,239,244,4646,4093
2622,Humboldt County,128694,63631,65063,55359,56681,781,564,3776,3982,1135,1287,159,148,2421,2401,5038,4583
2850,Imperial County,149909,77964,71945,68704,66004,4829,1658,1485,1669,2053,1798,127,100,766,716,55768,55500
3078,Inyo County,17974,8804,9170,7517,7806,27,20,950,999,97,114,9,7,204,224,1447,1355
3306,Kern County,726029,373429,352600,319658,302975,25603,20493,6416,6508,13790,14419,783,665,7179,7540,162263,145925
3534,Kings County,142151,81898,60253,67503,51481,9093,3209,1579,1387,2215,2574,180,171,1328,1431,37771,27459
3762,Lake County,63390,31328,32062,28378,28956,777,722,989,1055,342,415,51,57,791,857,4653,4126
3990,Lassen County,34102,21614,12488,17234,11278,3095,135,656,532,175,132,95,72,359,339,3765,1229
4218,Los Angeles County,9808494,4856023,4952471,3652461,3622199,448518,512641,51393,48816,600051,660067,17013,17377,86587,91371,2302842,2250589
4446,Madera County,136516,65692,70824,59415,61274,1764,4181,2053,2168,1155,1375,164,192,1141,1634,33001,31407
4674,Marin County,243677,121005,122672,106597,109319,4950,2533,792,587,5691,6986,207,237,2768,3010,16888,13259
4902,Mariposa County,17656,8982,8674,8211,7955,111,70,315,311,67,77,15,11,263,250,882,726
5130,Mendocino County,87092,43412,43680,39066,39002,446,253,2227,2374,464,710,132,86,1077,1255,8824,7462
5358,Merced County,233529,117400,116129,99900,98473,4758,4848,1910,1731,7952,8139,301,259,2579,2679,60252,56166
5586,Modoc County,9359,4725,4634,4329,4251,57,27,212,204,26,35,6,2,95,115,597,512
5814,Mono County,12919,7100,5819,6621,5423,84,35,181,157,89,87,7,12,118,105,1488,1214
6042,Monterey County,408867,212112,196755,180192,167942,10158,5479,2984,2525,12333,14245,1155,1090,5290,5474,109272,94625
6270,Napa County,130007,65353,64654,58676,58246,1332,976,705,573,2963,3256,215,174,1462,1429,19186,15818
6498,Nevada County,95974,47707,48267,45493,45945,228,194,432,451,485,584,53,52,1016,1041,3329,3069
6726,Orange County,2956096,1474993,1481103,1178659,1173994,29459,27119,13161,12390,217937,231483,5616,5346,30161,30771,493307,461017
6954,Placer County,304386,150165,154221,136144,139458,2178,2092,1455,1396,6294,7041,294,271,3800,3963,17164,15994
7182,Plumas County,20963,10456,10507,9803,9812,101,78,267,291,50,77,16,5,219,244,727,655
7410,Riverside County,1845631,921437,924194,783878,782288,60427,60252,13111,12563,40656,45060,3249,3108,20116,20923,376829,357513
7638,Sacramento County,1344279,659588,684691,470205,485045,67571,70841,8146,8403,82671,87733,5095,5341,25900,27328,126400,119609
7866,San Benito County,55090,27965,27125,25649,24686,386,360,414,411,810,951,85,97,621,620,14216,13128
8094,San Bernardino County,1899689,950997,948692,772136,761967,89628,92543,13744,13589,49674,53939,3597,3518,22218,23136,419989,405951
8322,San Diego County,2935672,1467045,1468627,1179928,1170397,87733,81190,14966,14721,135522,153113,7985,7882,40911,41324,424431,423178
8550,San Francisco County,773284,392852,380432,233138,205443,28914,29447,2460,1645,116164,131686,2007,2043,10169,10168,58442,51095
8778,San Joaquin County,640964,320784,320180,238421,235456,24249,24643,4324,4356,41812,43503,1636,1503,10342,10719,114306,104859
9006,San Luis Obispo County,256095,131656,124439,118895,114669,4131,1355,1520,1351,3984,3908,203,165,2923,2991,24887,20284
9234,San Mateo County,692033,343102,348931,238365,237045,12337,11616,1756,1717,75348,82860,4902,4949,10394,10744,80223,75127
9462,Santa Barbara County,401130,201541,199589,179383,177450,5497,4154,3229,3149,8400,9543,484,480,4548,4813,77253,69709
9690,Santa Clara County,1668984,849462,819522,548121,522102,24858,22999,6631,6253,244994,243569,3575,3544,21283,21055,216628,196698
9918,Santa Cruz County,250420,125376,125044,113849,113364,1688,1332,1553,1458,4746,5255,264,266,3276,3369,36411,33350
10146,Shasta County,176467,86293,90174,78333,81838,973,846,2418,2640,1899,2034,111,110,2559,2706,6179,5961
10374,Sierra County,3394,1727,1667,1655,1585,3,4,30,40,1,5,3,1,35,32,140,118
10602,Siskiyou County,44229,21743,22486,19596,20223,337,287,890,925,243,325,33,44,644,682,1971,1811
10830,Solano County,408346,205411,202935,134346,129303,31826,30503,1893,1754,26296,30062,1897,1753,9153,9560,43771,39274
11058,Sonoma County,463211,228711,234500,206527,211509,4206,3347,3386,3305,8022,9363,589,579,5981,6397,50641,43059
11286,Stanislaus County,491558,242981,248577,212163,216675,7640,7636,3646,3784,11773,12492,1298,1212,6461,6778,91266,86627
11514,Sutter County,85653,42504,43149,34272,34904,955,963,700,737,5332,5333,105,88,1140,1124,11114,10059
11742,Tehama County,58784,29125,29659,27234,27741,258,177,651,672,265,324,38,33,679,712,5622,5067
11970,Trinity County,13328,6787,6541,6098,5922,59,14,344,302,27,53,7,9,252,241,332,313
12198,Tulare County,394996,198200,196796,179903,178445,4068,3757,3722,3832,6998,7157,391,380,3118,3225,110475,102851
12426,Tuolumne County,56185,29645,26540,26993,24887,1122,137,592,499,229,265,61,41,648,711,3251,1887
12654,Ventura County,787749,394028,393721,347939,345682,8838,8322,4822,4390,22735,25470,1155,1170,8539,8687,145033,135731
12882,Yolo County,184993,90566,94427,73660,76534,2464,2494,1277,1318,9937,10673,479,475,2749,2933,26025,24612
13110,Yuba County,64378,32303,32075,26516,26364,1144,909,913,877,2369,2495,74,82,1287,1348,6926,6185
114,Adams County,386663,196600,190063,176779,170743,6906,6194,2742,2620,6346,6770,336,277,3491,3459,67708,59729
342,Alamosa County,15293,7568,7725,6942,7115,122,112,255,248,80,97,16,16,153,137,3291,3279
570,Arapahoe County,519785,256560,263225,213306,218556,24204,24183,2070,2045,10804,12044,425,388,5751,6009,41409,38001
798,Archuleta County,11374,5712,5662,5506,5461,25,21,96,81,12,22,3,0,70,77,935,900
1026,Baca County,4050,1989,2061,1918,1992,2,0,26,30,2,7,3,1,38,31,193,160
1254,Bent County,6195,3779,2416,3221,2261,390,15,99,68,27,23,0,0,42,49,1195,767
1482,Boulder County,284815,144221,140594,134082,130604,1816,1359,1056,1041,4975,5213,125,92,2167,2285,17999,16647
1710,Broomfield County,46591,23433,23158,21550,21312,245,203,185,158,1085,1104,8,6,360,375,2621,2423
1938,Chaffee County,16725,8838,7887,8329,7648,268,11,112,86,35,41,3,5,91,96,920,546
2166,Cheyenne County,1932,956,976,938,954,7,4,9,10,2,1,0,0,0,7,76,80
2394,Clear Creek County,9048,4688,4360,4536,4180,41,20,25,54,29,32,1,2,56,72,220,222
2622,Conejos County,8235,4039,4196,3897,4040,12,15,83,85,9,11,4,2,34,43,2297,2423
2850,Costilla County,3497,1715,1782,1566,1654,19,13,68,50,19,18,7,7,36,40,1091,1152
3078,Crowley County,5920,4171,1749,3472,1661,489,4,132,36,45,12,0,1,33,35,983,374
3306,Custer County,3821,1929,1892,1879,1827,6,8,19,22,7,8,0,0,18,27,47,54
3534,Delta County,29402,14684,14718,14121,14321,154,34,126,119,50,62,4,3,229,179,1989,1735
3762,Denver County,558506,283238,275268,235070,225287,29755,30983,4137,3981,8707,9213,619,555,4950,5249,99728,87340
3990,Dolores County,1797,909,888,866,852,1,0,28,20,5,3,1,0,8,13,47,42
4218,Douglas County,234810,117769,117041,109923,108861,1930,1682,534,609,3483,4077,77,61,1822,1751,7523,7476
