,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE
950,Bristol Bay Borough,1230,669,561,364,284,4,3,288,251,1,4,1,5,11,14,3,4
1178,Denali Borough,1892,1101,791,969,684,22,5,52,39,11,19,3,4,44,40,30,17
1406,Dillingham Census Area,4922,2566,2356,597,504,13,5,1785,1692,16,16,1,2,154,137,67,44
1634,Fairbanks North Star Borough,82769,43193,39576,35173,30815,2614,2430,2641,3174,731,1062,128,122,1906,1973,1738,1714
1862,Haines Borough,2397,1216,1181,1032,960,3,3,131,144,9,8,1,1,40,65,7,26
2090,Hoonah-Angoon Census Area,2561,1388,1173,698,527,5,0,605,574,3,6,2,1,75,65,37,43
2318,Juneau City and Borough,30668,15453,15215,11866,11465,157,103,1700,1839,693,783,71,46,966,979,531,510
2546,Kenai Peninsula Borough,49648,25841,23807,22571,20826,167,71,1976,1778,182,306,46,42,899,784,526,561
2774,Ketchikan Gateway Borough,13983,7147,6836,5418,5049,49,31,1055,1056,275,335,11,11,339,354,175,199
3002,Kodiak Island Borough,13966,7393,6573,4695,4078,89,47,1052,1014,1182,1087,62,53,313,294,466,382
3230,Lake and Peninsula Borough,1809,959,850,196,159,1,0,692,634,3,1,4,3,63,53,12,9
3458,Matanuska-Susitna Borough,59848,31120,28728,27823,25315,263,171,1656,1680,133,297,42,38,1203,1227,735,763
3686,Nome Census Area,9171,4957,4214,1033,771,25,13,3678,3222,28,34,1,1,192,173,55,37
3914,North Slope Borough,7369,3897,3472,754,568,42,14,2619,2416,210,228,36,26,236,220,94,81
4142,Northwest Arctic Borough,7219,3855,3364,545,371,11,4,3130,2838,32,32,2,2,135,117,33,24
4370,Petersburg Census Area,4248,2223,2025,1658,1494,8,4,368,348,47,50,3,3,139,126,56,51
4598,Prince of Wales-Hyder Census Area,6105,3331,2774,1865,1403,6,3,1236,1145,13,11,1,2,210,210,53,54
4826,Sitka City and Borough,8833,4505,4328,3216,2929,17,16,811,850,148,195,19,21,294,317,149,141
5054,Skagway Municipality,868,455,413,421,388,0,0,13,13,2,3,2,0,17,9,9,9
5282,Southeast Fairbanks Census Area,6173,3192,2981,2600,2356,62,63,395,396,5,39,4,5,126,122,85,82
5510,Valdez-Cordova Census Area,10220,5446,4774,4288,3615,21,14,676,691,186,186,10,17,265,251,145,141
5738,Wade Hampton Census Area,7042,3676,3366,194,143,3,1,3389,3134,3,4,1,1,86,83,11,12
5966,Wrangell City and Borough,2454,1263,1191,974,865,3,0,163,203,5,10,2,1,116,112,10,15
6194,Yakutat City and Borough,801,471,330,262,141,1,0,170,148,5,5,1,5,32,31,5,1
6422,Yukon-Koyukuk Census Area,6493,3519,2974,905,710,5,1,2456,2152,8,17,3,0,142,94,39,35
38,Apache County,69516,34443,35073,7604,7362,119,69,26345,27259,42,67,24,25,309,291,1680,1464
266,Cochise County,118028,59492,58536,53393,52586,3160,2461,846,678,675,1393,173,153,1245,1265,18000,18433
494,Coconino County,116717,58255,58462,39781,39071,663,628,16342,17234,508,570,72,81,889,878,6629,6220
722,Gila County,51355,25271,26084,21467,22177,128,97,3321,3423,97,135,13,21,245,231,4303,4309
950,Graham County,33541,17761,15780,14342,12915,545,135,2597,2502,121,87,15,18,141,123,5068,4038
1178,Greenlee County,8542,4459,4083,4286,3926,27,25,92,64,8,14,6,3,40,51,1904,1786
1406,La Paz County,19643,10092,9551,8545,7907,105,74,1252,1356,36,46,13,10,141,158,2360,2056
1634,Maricopa County,3097378,1549561,1547817,1397719,1394156,62591,59599,31043,32710,33901,37141,3025,2714,21282,21497,407543,367475
1862,Mohave County,156194,77697,78497,73685,74251,501,386,1952,1988,498,744,94,110,967,1018,8971,8489
2090,Navajo County,97876,48624,49252,24500,23871,595,298,22737,24290,143,195,27,30,622,568,4251,3830
2318,Pima County,848521,414979,433542,370427,387873,14407,13215,14401,15103,8553,9881,679,663,6512,6807,123437,127088
2546,Pinal County,181283,96628,84655,83922,73727,3374,1969,7393,7376,708,554,148,74,1083,955,30797,23596
2774,Santa Cruz County,38542,18447,20095,17994,19629,89,82,153,153,111,127,24,23,76,81,14665,16514
3002,Yavapai County,168886,82815,86071,79446,82719,413,302,1356,1457,401,489,82,64,1117,1040,8813,7833
3230,Yuma County,160675,81135,79540,75511,74385,2390,1618,1508,1444,718,1051,148,152,860,890,40436,40896
38,Arkansas County,20672,9845,10827,7482,8085,2241,2618,19,26,42,32,0,1,61,65,106,51
266,Ashley County,24160,11666,12494,8516,8790,3032,3566,25,31,28,25,4,7,61,75,428,348
494,Baxter County,38465,18477,19988,18134,19587,34,25,97,104,35,96,5,4,172,172,189,196
722,Benton County,154791,76376,78415,72670,74681,444,336,1213,1368,870,907,93,71,1086,1052,7431,6285
950,Boone County,34051,16430,17621,16111,17267,32,19,115,126,39,71,4,4,129,134,179,181
1178,Bradley County,12603,6232,6371,4451,4411,1727,1906,14,16,10,6,1,0,29,32,740,300
1406,Calhoun County,5717,2750,2967,2127,2184,598,748,5,7,2,0,0,0,18,28,42,44
1634,Carroll County,25411,12550,12861,12227,12494,37,12,103,121,38,70,10,11,135,153,1427,1052
1862,Chicot County,14083,6828,7255,3169,3097,3577,4058,8,10,35,27,2,1,37,62,244,163
2090,Clark County,23508,11316,12192,8685,9052,2374,2863,50,69,80,73,6,7,121,128,320,248
2318,Clay County,17542,8485,9057,8336,8898,26,20,61,60,8,6,0,0,54,73,67,73
2546,Cleburne County,24113,11685,12428,11504,12223,26,14,50,64,13,22,3,3,89,102,150,132
2774,Cleveland County,8544,4170,4374,3618,3685,506,628,8,19,1,11,1,2,36,29,86,53
3002,Columbia County,25564,12174,13390,7750,8228,4257,5007,32,36,48,41,4,3,83,75,161,108
3230,Conway County,20321,9868,10453,8444,8847,1246,1419,46,60,21,27,5,4,106,96,199,160
3458,Craighead County,82518,39960,42558,36235,38287,2982,3515,139,149,261,246,8,11,335,350,989,758
3686,Crawford County,53376,26385,26991,24784,25352,257,219,536,539,327,333,11,6,470,542,917,835
3914,Crittenden County,50976,24286,26690,12929,13355,11064,13002,65,59,100,140,5,6,123,128,396,327
4142,Cross County,19476,9441,10035,7196,7420,2139,2495,20,27,29,33,0,1,57,59,93,88
4370,Dallas County,9158,4443,4715,2601,2698,1803,1963,8,15,10,14,0,0,21,25,104,73
4598,Desha County,15306,7145,8161,3879,4112,3174,3947,24,30,22,24,1,3,45,45,262,223
4826,Drew County,18703,9070,9633,6512,6827,2420,2680,23,24,40,41,0,3,75,58,176,153
5054,Faulkner County,86456,42236,44220,37836,39228,3399,4006,236,223,321,321,16,18,428,424,844,680
5282,Franklin County,17747,8786,8961,8518,8738,88,27,75,72,20,27,6,5,79,92,171,139
5510,Fulton County,11655,5712,5943,5593,5806,19,12,33,46,8,17,0,0,59,62,29,33
5738,Garland County,88350,42900,45450,38426,40801,3390,3588,288,259,193,256,13,15,590,531,1330,935
5966,Grant County,16488,8181,8307,7889,7978,201,209,38,37,6,16,3,2,44,65,92,97
6194,Greene County,37504,18305,19199,17904,18834,31,29,89,75,28,37,5,2,248,222,222,212
6422,Hempstead County,23560,11398,12162,7839,8055,3320,3888,57,50,34,28,5,3,143,138,1112,838
6650,Hot Spring County,30383,14844,15539,13120,13563,1445,1696,68,73,26,41,7,6,178,160,202,182
6878,Howard County,14252,6948,7304,5346,5530,1477,1666,34,29,36,35,1,1,54,43,421,306
7106,Independence County,34270,16814,17456,16093,16691,360,341,76,88,101,126,4,8,180,202,295,228
7334,Izard County,13276,6734,6542,6431,6413,181,12,44,46,3,12,2,1,73,58,58,75
7562,Jackson County,18351,8756,9595,7018,7870,1626,1618,33,30,15,18,1,0,63,59,128,106
7790,Jefferson County,84218,41224,42994,20586,20407,19975,21901,114,91,283,302,16,14,250,279,419,402
8018,Johnson County,22799,11347,11452,10958,11044,166,159,75,68,44,42,0,2,104,137,871,659
8246,Lafayette County,8527,4123,4404,2613,2696,1468,1651,17,15,7,12,1,0,17,30,56,32
8474,Lawrence County,17679,8555,9124,8371,8945,52,36,51,51,2,8,1,1,78,83,67,54
8702,Lee County,12528,6603,5925,2936,2294,3623,3576,9,11,19,20,1,2,15,22,181,95
8930,Lincoln County,14474,8503,5971,5336,4195,3081,1695,31,27,6,5,0,1,49,48,169,94
9158,Little River County,13610,6624,6986,5071,5212,1355,1553,95,105,8,19,3,1,92,96,135,100
9386,Logan County,22504,11166,11338,10818,10982,124,117,73,84,12,21,4,1,135,133,143,130
9614,Lonoke County,53124,26135,26989,24106,24587,1609,1838,121,144,53,170,9,11,237,239,511,413
9842,Madison County,14296,7141,7155,6962,6979,10,7,90,88,5,4,8,5,66,72,267,169
10070,Marion County,16156,7999,8157,7799,7983,19,9,74,48,5,27,6,2,96,88,62,60
10298,Miller County,40434,19704,20730,14999,15236,4313,5047,130,129,69,83,3,5,190,230,352,289
10526,Mississippi County,51827,24799,27028,16534,17377,7849,9206,85,67,90,113,8,7,233,258,595,574
10754,Monroe County,10179,4777,5402,2925,3131,1781,2193,9,18,5,8,3,1,54,51,78,54
10982,Montgomery County,9270,4547,4723,4406,4586,19,12,57,46,12,22,1,0,52,57,112,122
11210,Nevada County,9920,4812,5108,3269,3438,1481,1631,24,15,3,4,0,0,35,20,84,67
11438,Newton County,8647,4373,4274,4289,4182,11,5,26,22,2,12,1,0,44,53,40,53
11666,Ouachita County,28685,13568,15117,8263,8912,5139,6000,37,39,29,43,4,4,96,119,104,106
11894,Perry County,10236,5079,5157,4890,4943,89,98,47,53,5,10,2,0,46,53,64,56
12122,Phillips County,26268,12046,14222,4973,5430,6941,8618,22,33,42,48,0,3,68,90,179,203
12350,Pike County,11321,5582,5739,5308,5412,198,207,34,40,4,14,2,0,36,66,227,176
12578,Poinsett County,25617,12460,13157,11464,12060,878,951,33,32,15,26,1,4,69,84,196,170
12806,Polk County,20262,9983,10279,9633,9922,24,22,159,153,10,33,5,8,152,141,365,343
13034,Pope County,54500,26744,27756,25318,26359,751,693,187,193,175,201,8,6,305,304,580,544
13262,Prairie County,9504,4680,4824,4024,4064,605,703,15,21,6,11,0,0,30,25,41,36
13490,Pulaski County,361905,173392,188513,114370,120897,54039,62057,751,743,2121,2561,81,80,2030,2175,5097,3922
13718,Randolph County,18163,8900,9263,8651,9050,104,75,54,45,3,11,2,1,86,81,81,68
13946,St. Francis County,29284,15044,14240,7785,6678,7035,7378,52,24,88,78,2,3,82,79,1261,170
14174,Saline County,83940,41579,42361,39743,40689,1055,813,214,201,207,274,16,12,344,372,603,492
14402,Scott County,10991,5549,5442,5340,5239,15,13,73,81,59,50,1,0,61,59,391,237
14630,Searcy County,8273,4098,4175,4000,4089,6,3,32,30,6,7,1,0,53,46,39,47
14858,Sebastian County,115518,56372,59146,48729,50980,3485,3736,898,942,2057,2125,50,34,1153,1329,4377,3414
15086,Sevier County,15759,7847,7912,7220,7249,380,408,150,138,8,13,3,6,86,98,1731,1387
15314,Sharp County,17151,8240,8911,8012,8696,55,37,58,60,10,13,2,1,103,104,77,90
15542,Stone County,11522,5678,5844,5520,5698,19,4,44,47,1,5,2,2,92,88,71,53
15770,Union County,45572,21783,23789,14606,15727,6865,7763,54,58,102,82,1,4,155,155,284,236
15998,Van Buren County,16211,7978,8233,7755,8016,37,30,67,57,17,27,4,5,98,98,118,97
16226,Washington County,158806,79571,79235,73397,73559,2011,1686,1016,1031,1332,1190,513,467,1302,1302,7379,5732
16454,White County,67405,32877,34528,31096,32596,1153,1276,144,155,88,131,14,12,382,358,723,544
16682,Woodruff County,8690,4101,4589,2854,3046,1190,1499,12,8,4,2,2,7,39,27,42,27
16910,Yell County,21163,10561,10602,10140,10181,153,162,73,57,91,82,8,1,96,119,1536,1166
38,Alameda County,1450220,712867,737353,427241,425312,103480,119152,5500,5467,147968,156801,5249,5330,23429,25291,143726,132870
266,Alpine County,1205,633,572,480,420,5,2,111,128,3,1,0,1,34,20,52,42
494,Amador County,35173,19377,15796,17072,14982,1391,46,367,284,228,141,24,21,295,322,2196,935
722,Butte County,203926,99956,103970,89825,94024,1645,1364,2078,2067,3624,3661,190,155,2594,2699,11161,10464
950,Calaveras County,40696,20200,20496,19025,19239,206,109,350,384,159,202,15,24,445,538,1436,1356
1178,Colusa County,18829,9578,9251,8946,8637,72,54,266,236,131,139,44,54,119,131,4716,4082
1406,Contra Costa County,953192,465649,487543,351199,361264,43047,49066,3532,3387,51595,56915,1919,2054,14357,14857,86863,82742
1634,Del Norte County,27471,15179,12292,12348,10525,1143,50,910,900,313,346,10,14,455,457,2693,1138
1862,El Dorado County,157134,78421,78713,73756,73860,522,347,866,834,1628,1862,112,113,1537,1697,7545,7221
2090,Fresno County,801444,401724,399720,329371,326091,22662,22760,7656,7857,34345,34813,758,755,6932,7444,184016,169935
2318,Glenn County,26451,13381,13070,12275,11962,114,70,280,315,469,475,21,21,222,227,4264,3622
2546,Humboldt County,126403,62509,63894,54844,56080,702,486,3590,3813,1028,1190,133,126,2212,2199,4329,3939
2774,Imperial County,142396,74366,68030,65655,62514,4602,1548,1459,1607,1860,1641,110,94,680,626,51833,51194
3002,Inyo County,17918,8751,9167,7569,7872,22,17,893,965,77,98,9,6,181,209,1147,1114
3230,Kern County,663484,340489,322995,292422,278653,23218,18661,5924,5987,12015,12507,723,616,6187,6571,135231,120724
3458,Kings County,129774,74511,55263,61631,47336,8284,2963,1374,1203,1908,2330,159,152,1155,1279,33041,23783
3686,Lake County,58551,28936,29615,26415,26941,661,603,903,978,225,290,47,51,685,752,3615,3119
3914,Lassen County,33749,21209,12540,17028,11400,2979,126,630,522,157,116,88,66,327,310,3559,1125
4142,Los Angeles County,9542578,4717809,4824769,3546998,3533110,456724,521605,52205,49642,564125,617704,16781,17093,80976,85615,2153708,2114398
4370,Madera County,123566,59185,64381,53843,55850,1581,3890,1837,2001,807,1027,155,180,962,1433,28130,26828
4598,Marin County,247614,122756,124858,108957,112395,5106,2439,759,565,5210,6453,196,227,2528,2779,15372,12197
4826,Mariposa County,17143,8777,8366,8065,7724,90,37,316,305,55,69,15,11,236,220,745,584
5054,Mendocino County,86396,43000,43396,38984,39052,385,224,2096,2215,441,655,102,81,992,1169,7810,6519
5282,Merced County,212122,105792,106330,89779,89870,4226,4453,1710,1619,7610,7826,271,236,2196,2326,49797,46798
5510,Modoc County,9415,4761,4654,4379,4298,50,17,208,193,25,35,5,2,94,109,591,497
5738,Mono County,12896,7090,5806,6666,5464,63,18,176,149,78,78,6,11,101,86,1263,1020
5966,Monterey County,403065,208719,194346,176839,165688,10576,5966,2962,2519,12179,13930,1118,1031,5045,5212,101451,87842
6194,Napa County,124545,62186,62359,57188,57698,1054,709,679,547,1855,2022,172,157,1238,1226,16242,13425
6422,Nevada County,92503,45875,46628,44023,44679,162,109,421,447,329,425,50,47,890,921,2730,2546
6650,Orange County,2856372,1421709,1434663,1154560,1159140,27592,25431,13232,12457,193748,204756,5363,5089,27214,27790,454487,428324
6878,Placer County,251274,123365,127909,114498,118531,1151,1003,1233,1152,3565,4162,218,209,2700,2852,12655,11833
7106,Plumas County,20764,10382,10382,9773,9748,87,47,258,285,44,68,16,5,204,229,618,559
7334,Riverside County,1559109,776638,782471,667050,669515,51592,50797,11142,10681,28823,32766,2434,2383,15597,16329,291366,276242
7562,Sacramento County,1230150,602378,627772,437535,453937,62116,64858,7344,7650,68910,73298,4099,4287,22374,23742,101641,96565
7790,San Benito County,53827,27256,26571,25163,24358,383,333,381,389,676,814,73,79,580,598,13478,12455
8018,San Bernardino County,1718469,857952,860517,701982,697228,80351,83388,12341,12219,41359,44904,3184,3105,18735,19673,342722,333520
8246,San Diego County,2824987,1421254,1403733,1147771,1125415,90650,82043,14624,13916,123317,137720,7739,7459,37153,37180,380517,377823
8474,San Francisco County,777360,395211,382149,234565,208163,31110,31633,2411,1783,115474,128891,2048,2057,9603,9622,58243,51941
8702,San Joaquin County,567968,283974,283994,216407,214924,19895,19744,3800,3802,34199,35557,1225,1120,8448,8847,91326,82985
8930,San Luis Obispo County,247878,127333,120545,115479,111715,4012,1210,1422,1268,3632,3532,187,151,2601,2669,22660,18001
9158,San Mateo County,708272,350342,357930,250806,251717,13422,12884,1949,1894,69476,76355,5158,5206,9531,9874,79919,75812
9386,Santa Barbara County,399784,200081,199703,178405,178183,5569,4329,3168,2999,8244,9216,460,452,4235,4524,72057,65447
9614,Santa Clara County,1685842,854924,830918,576091,555396,26283,24502,7215,6894,221181,219973,3451,3393,20703,20760,210979,194979
9842,Santa Cruz County,255834,127748,128086,116762,117007,1611,1272,1563,1459,4556,4996,223,229,3033,3123,35972,32991
10070,Shasta County,163782,79877,83905,73082,76816,713,553,2266,2445,1539,1669,102,102,2175,2320,4591,4501
10298,Sierra County,3569,1805,1764,1736,1684,3,4,29,39,1,5,2,1,34,31,119,98
10526,Siskiyou County,44230,21734,22496,19655,20340,331,275,873,900,236,312,28,32,611,637,1756,1605
10754,Solano County,396974,199973,197001,132285,127074,30977,29646,1822,1701,24566,27976,1794,1647,8529,8957,37194,33195
10982,Sonoma County,460411,226838,233573,206542,212824,4037,3122,3175,3079,6951,8082,549,529,5584,5937,43494,36868
11210,Stanislaus County,449702,221382,228320,195086,201179,6333,6189,3323,3418,10106,10729,1010,981,5524,5824,73583,69970
11438,Sutter County,79149,39194,39955,31803,32633,805,778,656,711,4850,4752,90,81,990,1000,9251,8424
11666,Tehama County,56136,27758,28378,26091,26691,213,128,596,632,223,252,37,32,598,643,4704,4245
11894,Trinity County,13006,6638,6368,5960,5773,55,11,344,302,26,44,7,8,246,230,263,254
12122,Tulare County,368628,184432,184196,167804,167370,3528,3243,3547,3613,6482,6764,354,348,2717,2858,97382,90519
12350,Tuolumne County,54651,28825,25826,26356,24379,1078,83,569,481,193,212,56,37,573,634,2908,1568
12578,Ventura County,756366,377763,378603,335921,334965,8456,7949,4607,4248,20003,22519,1064,1059,7712,7863,131121,123043
12806,Yolo County,169884,83094,86790,68924,71647,1896,1885,1129,1190,8477,9248,326,324,2342,2496,22731,21481
13034,Yuba County,60334,30421,29913,24836,24433,1139,889,858,820,2322,2441,63,72,1203,1258,5605,4925
38,Adams County,350961,178019,172942,160449,155960,6037,5452,2523,2414,5697,5855,297,236,3016,3025,54401,48101
266,Alamosa County,14964,7432,7532,6894,6991,101,94,222,229,69,80,16,16,130,122,3139,3090
494,Arapahoe County,491701,242250,249451,206008,211555,19772,19946,1821,1826,9353,10601,338,325,4958,5198,30406,28163
722,Archuleta County,10038,5089,4949,4910,4784,23,18,85,67,10,21,3,0,58,59,872,811
950,Baca County,4501,2238,2263,2169,2198,2,0,26,29,2,6,3,1,36,29,175,142
1178,Bent County,5968,3363,2605,3005,2464,210,12,82,65,25,21,0,0,41,43,1035,779
1406,Boulder County,271669,137442,134227,128839,125842,1477,1066,972,973,4187,4339,115,84,1852,1923,15315,13937
1634,Broomfield County,39563,19892,19671,18417,18224,216,170,139,124,812,852,8,6,300,295,1851,1746
1862,Chaffee County,16315,8675,7640,8181,7422,267,6,107,81,35,41,3,5,82,85,879,515
2090,Cheyenne County,2218,1112,1106,1094,1085,7,4,9,9,2,1,0,0,0,7,90,91
2318,Clear Creek County,9310,4851,4459,4751,4332,22,8,24,49,16,18,1,2,37,50,181,181
2546,Conejos County,8398,4167,4231,4029,4082,11,14,82,83,8,11,4,2,33,39,2460,2500
2774,Costilla County,3668,1831,1837,1690,1712,19,13,61,50,19,18,6,7,36,37,1236,1246
3002,Crowley County,5533,3721,1812,3154,1730,387,3,112,32,36,12,0,1,32,34,870,377
3230,Custer County,3514,1796,1718,1748,1655,6,7,17,22,7,8,0,0,18,26,39,49
3458,Delta County,27916,14022,13894,13545,13564,137,17,116,111,44,54,4,3,176,145,1748,1446
3686,Denver County,556094,281168,274926,231986,224082,31394,32669,4413,4253,8136,8458,497,429,4742,5035,94182,83436
3914,Dolores County,1846,954,892,919,858,1,0,22,19,5,3,1,0,6,12,35,36
4142,Douglas County,180311,90037,90274,85373,85275,982,814,337,411,2076,2553,64,44,1205,1177,4486,4720
4370,Eagle County,41987,23000,18987,22392,18455,96,73,170,152,195,171,20,16,127,120,5525,4317
