Case,Date,County,Company,Occupation,Agency,Violation,Trade,Outcome,Outcometype,Quantity
542BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Blessing & Harvey Professional Services, Inc. dba Ernie's Plumbing & Sewer Service",Underground , Martinez Unified School District ," Apprenticeship, Failure to Pay Prevailing Wages, Fringe Benefits, Misclassification "," Laborers, Operators",Complaint,Awarding Agency,
1558FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","C. Hardy General Engineering Contractor, Inc.",Site Work , Napa County Regional Park & Open Space ," Misclassification, Owner/Operator Issues, Travel Pay ", Operators,Collection,Awarding Agency ,"2,845.07"
1558FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","C. Hardy General Engineering Contractor, Inc.",Site Work , Napa County Regional Park & Open Space ," Misclassification, Owner/Operator Issues, Travel Pay ", Operators,Complaint,Awarding Agency,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",California Concrete Pump Pros,Concrete Construction , Livermore Area Recreation & Park District ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay ", Cement,Complaint,DLSE,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",California Concrete Pump Pros,Concrete Construction , Livermore Area Recreation & Park District ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay ", Cement,Complaint,EDD,
534FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",California Skateparks,Site Work/Concrete Construction , City of Napa ," Apprenticeship, Misclassification, Travel Pay "," Laborers, Operators",Complaint,Contractor,
1542FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Cima's Landscape & Maintenance Co.,Landscape Construction , City of Vacaville ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime "," Laborers, Operators",Assessment,DLSE ,"73,123.18"
546AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Empire Landscaping, Inc.",Landscape Construction , Chabot-Las Positas Community College District ," Misclassification, Overtime, Subsistence, Travel Pay "," Laborers, Operators",Complaint,DLSE,
544AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Federal Solutions Group dba Federal Constructions,Building Construction , US Department of Defense , Failure to Pay Prevailing Wages , Laborers,Complaint,Contractor,
1547FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Five Star Concrete, Inc.",Concrete Construction , City of Vacaville ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
536AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Francisco Pinzon Plastering Inc.,Building Construction , Various Projects ," Failure to Pay Prevailing Wages, Overtime, Travel Pay ", Laborers,Complaint,Awarding Agency,
497AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Fugro Consultants, Inc.",Testing & Inspection , Various Projects ," Failure to Pay Prevailing Wages, IWC 16, Overtime ", Operators,Lawsuit,Superior Court,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Gentec Services Inc.,Electrical Construction , Livermore Area Recreation & Park District ," Apprenticeship, Failure to Pay Prevailing Wages, Fringe Benefits, Overtime, Travel Pay "," Electricians, Laborers",Complaint,DLSE,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Gentec Services Inc.,Electrical Construction , Livermore Area Recreation & Park District ," Apprenticeship, Failure to Pay Prevailing Wages, Fringe Benefits, Overtime, Travel Pay "," Electricians, Laborers",Complaint,EDD,
526AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Graffiti Protective Coatings, Inc.",Site Work , County of Alameda ," Misclassification, Travel Pay, Underreporting of Hours, Underreporting of Workers ", Laborers,Complaint,DLSE,
522AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",J S Concrete Co,Concrete Construction , Leadership Public Schools ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
1542FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Jason Sheet Metal, Inc.",Building Construction , City of Vacaville ," Failure to Pay Prevailing Wages, Overtime, Travel Pay ", Laborers,Assessment,DLSE ,"7,088.44"
1518FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","John Benward Company, Incorporated",Underground , Middletown Unified School District ," IWC 16, Misclassification, Overtime, Paid Private Rates "," Laborers, Operators",Collection,Lawsuit ,"6,250.00"
549BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","John Clay General Engineering Contractor, Inc.",Site Work/Concrete Construction , East Bay Regional Park District ," Apprenticeship, Misclassification, Travel Pay, Underreporting of Hours, Underreporting of Hours "," Laborers, Operators",Complaint,Awarding Agency,
1542FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",JSJ Electrical Display Corporation,Building Construction , City of Vacaville ," Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel Pay "," Electricians, Laborers, Operators",Assessment,DLSE ,"5,270.13"
516BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Judge Netting, Inc.",Site Work , Martinez Unified School District ," Apprenticeship, Expired Rates, Misclassification "," Laborers, Operators",Collection,Awarding Agency ,"1,124.55"
533BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Kenwood Fence Company, Inc.",Fencing , Bay Area Rapid Transit District ," Failure to Pay Prevailing Wages, Travel Pay "," Laborers, Operators",Complaint,DLSE,
1557FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Lind Marine Incorporated,Dredging , City of Benicia , License Issues , Operators,Complaint,CSLB,
1557FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Lind Marine Incorporated,Dredging , City of Benicia , License Issues , Operators,Complaint,DLSE,
490AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Malachi Paving & Grading Inc.,Street & Road , County of Alameda , Apprenticeship ," Cement Masons, Laborers, Operators",Assessment,DLSE ,760
528AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Malachi Paving & Grading Inc.,Site Work , County of Alameda ," Fringe Benefits, Misclassification, Underreporting of Hours, Underreporting of Workers "," Cement Masons, Laborers, Operators",Complaint,DLSE,
515AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Maloney Construction, Inc.",Culvert Replacement , City of Berkeley ," Apprenticeship, Misclassification, Overtime "," Cement Masons, Laborers, Operators",Collection,Awarding Agency ,"4,838.00"
541BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",MG Creations Construction,Site Work/Concrete Construction , City of Pinole , Apprenticeship ," Carpenters, Cement Masons, Laborers, Operators",Complaint,Contractor,
1542FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Mitchell Jones Concrete, Inc. dba Mitchell Concrete",Concrete Construction , City of Vacaville ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Cement Masons, Laborers, Operators",Assessment,DLSE ,"60,671.67"
1542FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Mitchell Jones Concrete, Inc. dba Mitchell Concrete",Concrete Construction , City of Vacaville ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
537AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Mosqueda Landscape,Concrete Construction , Livermore Area Recreation & Park District ," Apprenticeship, Failure to Pay Prevailing Wages, Fringe Benefits, Misclassification, Travel Pay, Underreporting of Hours, Underreporting of Workers "," Iron Workers, Laborers, Operators",Complaint,Awarding Agency,
537AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Mosqueda Landscape,Concrete Construction , Livermore Area Recreation & Park District ," Apprenticeship, Failure to Pay Prevailing Wages, Fringe Benefits, Misclassification, Travel Pay, Underreporting of Hours, Underreporting of Workers "," Iron Workers, Laborers, Operators",Complaint,DLSE - Contractor Registration,
459BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Noah Concrete Corporation,Concrete Construction , Albany Unified School District ," Bounced Checks/Insufficient Funds, Misclassification, Overtime "," Iron Workers, Laborers",Collection,Lawsuit ,"7,500.00"
1426FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Odyssey Landscaping Company, Inc.",Concrete Construction , City of Suisun City ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
1506FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Odyssey Landscaping Company, Inc.",Grading and Paving , State of California  Department of Boating and Waterways ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
214BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Odyssey Landscaping Company, Inc.",Creek Restoration , Town of Danville ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
348BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Odyssey Landscaping Company, Inc.",Concrete Construction , City of Livermore ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Outsource Telecom, Inc.",Electrical Construction , Livermore Area Recreation & Park District ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel, Pay "," Electricians, Laborers",Complaint,Awarding Agency,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Outsource Telecom, Inc.",Electrical Construction , Livermore Area Recreation & Park District ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel, Pay "," Electricians, Laborers",Complaint,EDD,
529AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Pacific General Engineering,Concrete Construction , City of Albany ," Apprenticeship, Misclassification, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,Awarding Agency,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Plumbing for Less,Underground , Livermore Area Recreation & Park District ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel Pay "," Laborers, Operators",Complaint,DLSE,
504AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Prism Engineering, Inc.",Street & Road , City of Pleasant Hill ," IWC 16, Misclassification, Travel Pay, Underreporting of Hours, Underreporting of Workers "," Cement Masons, Laborers, Operators",Lawsuit,Superior Court,
505AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Prism Engineering, Inc.",Street & Road , City of Albany ," IWC 16, Misclassification, Travel Pay, Underreporting of Hours, Underreporting of Workers "," Cement Masons, Laborers, Operators",Lawsuit,Superior Court,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",R G Construction,Building Construction , Livermore Area Recreation & Park District ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel, Pay "," Carpenters, Laborers",Complaint,DLSE,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",R G Construction,Building Construction , Livermore Area Recreation & Park District ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel, Pay "," Carpenters, Laborers",Complaint,EDD,
412BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","R P Engineering Contractors, Inc.",Site Work , Alameda County Water District ," Misclassification, Overtime, Paid Private Rates "," Laborers, Operators",Collection,Lawsuit ,"45,128.50"
502AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","R. G. Custom Painting, Inc.",Building Construction/Waterproofing , Hayward Unified School District ," Failure to Pay Prevailing Wages, Misclassification, Overtime, Travel Pay ", Laborers,Collection,Lawsuit ,"170,000.00"
532AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Redline Electric,Electrical Construction , Various Projects , Tax Issues ," Laborers, Operators",Complaint,EDD,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Saia Plastering Co.,Site Work/Building Construction , Livermore Area Recreation & Park District ," License Issues, Workers Compensation ", Laborers,Complaint,CSLB,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Saia Plastering Co.,Site Work/Building Construction , Livermore Area Recreation & Park District ," License Issues, Workers Compensation ", Laborers,Complaint,EDD,
1559FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Salt River Construction Corporation,Dredging , City of Vallejo ," Overtime, Travel Pay ", Operators,Complaint,DLSE,
521BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Sea Pac Engineering, Inc.",Mechanical Construction , County of Contra Costa ," Apprenticeship, Overtime, Shift Differential Violation, Travel Pay ", Laborers,Complaint,DLSE,
509BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Skyline Landscapes, Inc.",Concrete Construction , City of San Ramon ," IWC 16, Misclassification, Overtime, Travel Pay, Underreporting of Hours, Underreporting of Workers "," Laborers, Operators",Collection,Awarding Agency ,"10,017.28"
5 3 9 F A,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","SMP Construction & Maintenance, Inc. dba Foundation Repair of CA",Concrete Construction , City of Vacaville ," Apprenticeship, Failure to Pay Prevailing Wages, Fringe Benefits, Overtime "," Iron Workers, Laborers, Operators",Complaint,Awarding Agency,
414BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Souto Bros Landscape and Maintenance,Street & Road , Hayward Unified School District ," IWC 16, Overtime, Paid Private Rates, Travel Pay "," Laborers, Operators",Collection,Lawsuit ,"21,000.00"
535AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Summit Plastering, Inc.",Building Construction ," Essex Property Trust, Inc. "," Apprenticeship, Failure to Pay Prevailing Wages, Misclassification, Overtime ", Laborers,Complaint,DLSE,
535AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Summit Plastering, Inc.",Building Construction ," Essex Property Trust, Inc. "," Apprenticeship, Failure to Pay Prevailing Wages, Misclassification, Overtime ", Laborers,Complaint,EDD,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",T Amarals Done Right Construction,Site Work/Building Construction , Livermore Area Recreation & Park District ," Apprenticeship, Misclassification, Overtime, Travel Pay, Underreporting of Hours, Underreporting of Workers "," Cement Masons, Laborers, Operators",Complaint,DLSE,
538AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",T Amarals Done Right Construction,Site Work/Building Construction , Livermore Area Recreation & Park District ," Apprenticeship, Misclassification, Overtime, Travel Pay, Underreporting of Hours, Underreporting of Workers "," Cement Masons, Laborers, Operators",Complaint,EDD,
548BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",T Amarals Done Right Construction,Building Construction , City of Brentwood , Bid Protest & Past Violations/License Issues ," Laborers, Operators",Bid Rejection,Awarding Agency,
1555FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Telfer Highway Technologies,Grading and Paving , City of Vacaville ," Apprenticeship, Failure to Pay Sunday Rate, Shift Differential Violation, Travel Pay "," Laborers, Operators",Complaint,DLSE,
1555FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Telfer Highway Technologies,Grading and Paving , City of Vacaville ," Apprenticeship, Failure to Pay Sunday Rate, Shift Differential Violation, Travel Pay "," Laborers, Operators",Lawsuit,Superior Court,
1556FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Vali Cooper & Associates, Inc.",Testing & Inspection , City of Vacaville , Expired Rates , Operators,Complaint,Awarding Agency,
518BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",Waraner Tree Experts,Tree Removal , Contra Costa County Office of Education ," Apprenticeship, Failure to Provide Certified Payroll Records, Overtime "," Laborers, Operators",Complaint,DLSE,
540BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","West Valley Industries, Inc.",Electrical Construction , Various Projects , Tax Issues ," Laborers, Operators",Complaint,EDD,
1542FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Wulff Electric, Inc.",Electrical Construction , City of Vacaville ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime "," Electricians, Laborers, Operators",Assessment,DLSE ,"83,698.43"
358FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","99 Pipeline, Inc.",Underground , City of Visalia ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Assessment,DLSE ,"174,180.94"
377FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","99 Pipeline, Inc.",Underground , City of Visalia ," Failure to Pay Prevailing Wages, Fringe Benefits "," Laborers, Operators",Complaint,DLSE,
329FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","A. Colmenero Plastering, Inc.",Building Construction , State of California Department of General Services ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay ", Laborers,Collection,DLSE ,"37,826.71"
332ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","A-1 Ornamental Ironworks, Inc.",Fencing , County of Stanislaus Housing Authority ," Apprenticeship, Failure to Pay Prevailing Wages ", Iron Workers,Collection,DLSE ,"2,386.32"
364ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",AJ's Landscape Construction,Concrete Construction , County of San Joaquin ," Apprenticeship, Misclassification "," Cement Masons, Laborers, Operators",Collection,Awarding Agency ,"3,172.54"
377FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",American Incorporated dba MD Concrete Cutting and Demolition,Underground , City of Visalia ," Failure to Pay Prevailing Wages, Fringe Benefits "," Laborers, Operators",Complaint,DLSE,
361ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Amerine Systems, Incorporated",Landscape Construction , Modesto City Schools , Misclassification , Laborers,Collection,Contractor ,304
361ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Amerine Systems, Incorporated",Landscape Construction , Modesto City Schools , Misclassification , Laborers,Complaint,Contractor,
332ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",AMR Construction,Site Work/Building Construction , County of Stanislaus Housing Authority ," Apprenticeship, Failure to Pay Prevailing Wages "," Carpenters, Laborers, Operators",Collection,DLSE ,"47,414.53"
357FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",AP Land Developments,Landscape Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Laborers, Operators",Assessment,DLSE ,"81,702.25"
357FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",AP Land Developments,Landscape Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Laborers, Operators",Collection,DLSE ,"17,792.25"
332ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","B & H Electric, Inc.",Electrical Construction , County of Stanislaus Housing Authority ," Apprenticeship, Failure to Pay Prevailing Wages "," Electricians, Laborers",Collection,DLSE ,"13,471.08"
334FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Bakersfield Concrete & Construction,Concrete Construction , City of Tulare ," Apprenticeship, Failure to Pay Prevailing Wages, Subsistence, Travel Pay "," Cement Masons, Laborers, Operators",Assessment,DLSE ,"37,467.16"
334FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Bakersfield Concrete & Construction,Concrete Construction , City of Tulare ," Apprenticeship, Failure to Pay Prevailing Wages, Subsistence, Travel Pay "," Cement Masons, Laborers, Operators",Collection,DLSE ,"38,373.70"
386FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Bestco Electric, Inc. dba Best Electric",Electrical Construction , City of Atwater ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Electricians, Laborers, Operators",Complaint,DLSE,
339FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Bowman Asphalt, Inc.",Street & Road , City of Porterville ," Apprenticeship, Failure to Pay Prevailing Wages, Failure to Provide Certified Payroll Records, Overtime, Travel, Pay "," Laborers, Operators",Collection,DLSE ,"42,705.72"
376ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Brandon-Garrett Construction, Inc.",Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Cement Masons, Laborers, Operators",Complaint,DLSE,
339FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Cali Concrete Corporation,Concrete Construction , City of Porterville ," Apprenticeship, Failure to Pay Prevailing Wages, Failure to Provide Certified Payroll Records, Overtime "," Cement Masons, Laborers, Operators",Assessment,DLSE ,"69,670.21"
339FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Cali Concrete Corporation,Concrete Construction , City of Porterville ," Apprenticeship, Failure to Pay Prevailing Wages, Failure to Provide Certified Payroll Records, Overtime "," Cement Masons, Laborers, Operators",Collection,DLSE ,"7,510.21"
375FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Carlos Melo,Site Work  ,, Workers Compensation , Laborers,Collection,Lawsuit ,"30,000.00"
375FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Carlos Melo,Site Work  ,, Workers Compensation , Laborers,Lawsuit,Superior Court,
